NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
Chat::Init                                                                                 |          1 |           7.4661 |           7.4661
CivilianSedan::EEInit                                                                      |         13 |           0.2200 |           0.0169
CivilianSedan_Black::EEInit                                                                |          3 |           0.0554 |           0.0184
CivilianSedan_Wine::EEInit                                                                 |          1 |           0.0199 |           0.0199
ExpansionBigGyrocopter::EEInit                                                             |          2 |           0.0309 |           0.0154
ExpansionBus::EEInit                                                                       |         27 |           0.4373 |           0.0161
ExpansionChatLineBase::ExpansionChatLineBase                                               |        100 |           4.9175 |           0.0491
ExpansionChatUIWindow::CreateChatLines                                                     |        100 |         246.3250 |           2.4632
ExpansionChatUIWindow::ExpansionChatUIWindow                                               |          1 |           6.3808 |           6.3808
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           0.6870 |           0.6870
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.3797 |           0.3797
ExpansionGyrocopter::EEInit                                                                |          3 |           0.0525 |           0.0175
ExpansionHatchBird::EEInit                                                                 |          3 |           0.0490 |           0.0163
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.0023 |           0.0023
ExpansionMarketCategory::GetGlobalItem                                                     |        634 |           0.5168 |           0.0008
ExpansionMarketCategory::GetGlobalItem#366796                                              |        134 |           0.0832 |           0.0006
ExpansionMarketPlayerInventory::Enumerate                                                  |          2 |           0.1537 |           0.0768
ExpansionMerlin::EEInit                                                                    |         11 |           0.1841 |           0.0167
ExpansionMh6::EEInit                                                                       |         26 |           0.4254 |           0.0163
ExpansionP2PMarketModule::ClientModuleInit                                                 |          1 |           0.0045 |           0.0045
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0024 |           0.0024
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0074 |           0.0074
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |           0.2122 |           0.2122
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           0.0021 |           0.0021
ExpansionP2PTraderAIIrena::OnPlayerLoaded                                                  |          3 |           1.6369 |           0.5456
ExpansionQuestHUD::ExpansionQuestHUD                                                       |          1 |           0.0079 |           0.0079
ExpansionQuestHUD::OnHide                                                                  |         41 |           0.3973 |           0.0096
ExpansionQuestHUD::OnShow                                                                  |         41 |          10.1687 |           0.2480
ExpansionQuestHUD::ShowHud                                                                 |         81 |          32.0249 |           0.3953
ExpansionQuestHUD::UpdateView                                                              |         42 |           0.9788 |           0.0233
ExpansionQuestModule::Exec_DeferredSendClientQuestData                                     |          1 |           3.0621 |           3.0621
ExpansionQuestModule::OnInit                                                               |          1 |           0.0185 |           0.0185
ExpansionQuestModule::OnMissionFinish                                                      |          1 |           0.0051 |           0.0051
ExpansionQuestModule::OnMissionLoaded                                                      |          1 |           0.0052 |           0.0052
ExpansionQuestModule::OnMissionStart                                                       |          1 |           0.0033 |           0.0033
ExpansionQuestModule::OnRPC                                                                |          1 |           3.6293 |           3.6293
ExpansionQuestModule::QuestDisplayConditions                                               |          4 |           1.2204 |           0.3051
ExpansionQuestModule::RPC_SendClientQuestData                                              |          1 |           3.4121 |           3.4121
ExpansionQuestModule::SetQuestIndicator                                                    |          8 |           0.0335 |           0.0041
ExpansionQuestModule::SetQuestNPCIndicator                                                 |         13 |          53.1525 |           4.0886
ExpansionQuestModule::UpdateQuestNPCIndicators                                             |          1 |           2.7424 |           2.7424
ExpansionQuestNPCAIDenis::OnPlayerLoaded                                                   |          2 |           1.7793 |           0.8896
ExpansionQuestNPCAIElias::OnPlayerLoaded                                                   |          9 |           6.8247 |           0.7583
ExpansionQuestObjectiveData::OnRecieve                                                     |          4 |           0.0333 |           0.0083
ExpansionQuestPersistentData::OnRead                                                       |          1 |           1.4581 |           1.4581
ExpansionQuestPersistentQuestData::OnRead                                                  |          4 |           0.7686 |           0.1921
ExpansionRespawnHandlerModule::Exec_CloseSpawnMenu                                         |          1 |           0.7615 |           0.7615
ExpansionRespawnHandlerModule::Exec_ShowSpawnMenu                                          |          1 |         195.7280 |         195.7280
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0332 |           0.0332
ExpansionRespawnHandlerModule::OnMissionFinish                                             |          1 |           0.0265 |           0.0265
ExpansionRespawnHandlerModule::OnMissionStart                                              |          1 |           0.0028 |           0.0028
ExpansionRespawnHandlerModule::OnRPC                                                       |          2 |           0.3557 |           0.1778
ExpansionRespawnHandlerModule::ProcessCooldown                                             |          1 |           0.0228 |           0.0228
ExpansionRespawnHandlerModule::RPC_CloseSpawnMenu                                          |          1 |           0.0081 |           0.0081
ExpansionRespawnHandlerModule::RPC_ShowSpawnMenu                                           |          1 |           0.0174 |           0.0174
