NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
ActionBase::AssignQuestObjective                                                           |          1 |           0.0047 |           0.0047
ActionBase::DeassignQuestObjective                                                         |          2 |           0.0053 |           0.0026
ExpansionEntityStorageModule::OnMissionStart                                               |          1 |           0.0929 |           0.0929
ExpansionGarageModule::LoadGarageData                                                      |          1 |           0.2028 |           0.2028
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.3564 |           0.3564
ExpansionHardlineModule::OnClientDisconnect                                                |          1 |           0.0170 |           0.0170
ExpansionHardlineModule::OnClientPrepare                                                   |          2 |           0.0175 |           0.0087
ExpansionHardlineModule::OnInvokeConnect                                                   |          2 |           0.0285 |           0.0142
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.3500 |           0.3500
ExpansionMarketCategory::GetGlobalItem                                                     |       3086 |           3.4417 |           0.0011
ExpansionMissionModule::OnMissionLoaded                                                    |          1 |           8.6408 |           8.6408
ExpansionMissionModule::StartNewMissions                                                   |          1 |           0.0030 |           0.0030
ExpansionP2PMarketModule::CheckListingsTimes                                               |         33 |           0.4338 |           0.0131
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0024 |           0.0024
ExpansionP2PMarketModule::LoadP2PMarketServerData                                          |          1 |           1.8595 |           1.8595
ExpansionP2PMarketModule::LoadP2PMarketTraderData                                          |          1 |           1.3174 |           1.3174
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0082 |           0.0082
ExpansionP2PMarketModule::OnInvokeConnect                                                  |          2 |           0.0139 |           0.0069
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |         350.5510 |         350.5510
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           2.1772 |           2.1772
ExpansionP2PMarketModule::ServerModuleInit                                                 |          1 |         350.3790 |         350.3790
ExpansionP2PTraderAIIrena::OnPlayerLoaded                                                  |          1 |           0.8581 |           0.8581
ExpansionPathHandler::OnUpdate                                                             |     349594 |        2783.3200 |           0.0079
ExpansionPersonalStorageModule::LoadPersonalStorageServerConfig                            |          1 |           3.1871 |           3.1871
ExpansionQuest::CreateObjectivesFromConfig                                                 |          2 |           0.7006 |           0.3503
ExpansionQuest::ExpansionQuest                                                             |          2 |           0.0085 |           0.0042
ExpansionQuest::Finalize                                                                   |          2 |           1.2361 |           0.6180
ExpansionQuest::OnQuestCleanup                                                             |          2 |           3.3734 |           1.6867
ExpansionQuest::OnQuestContinue                                                            |          2 |           4.5663 |           2.2831
ExpansionQuest::QuestCompletionCheck                                                       |          2 |           0.7005 |           0.3502
ExpansionQuest::RemoveQuestMarkers                                                         |          2 |           0.0149 |           0.0074
ExpansionQuest::SetCurrentObjectiveIndex                                                   |          2 |           0.0745 |           0.0372
ExpansionQuest::SetPlayerUID                                                               |          2 |           0.0998 |           0.0499
ExpansionQuest::SetQuestState                                                              |          2 |           0.0755 |           0.0377
ExpansionQuest::UpdateQuest                                                                |          2 |           2.0718 |           1.0359
ExpansionQuestConfig::Load                                                                 |         21 |          26.6973 |           1.2713
ExpansionQuestConfig::OnSend                                                               |         21 |           0.4834 |           0.0230
ExpansionQuestConfig::ValidateQuestConfiguration                                           |         21 |           0.2268 |           0.0108
ExpansionQuestModule::CheckAndDeleteObjectSet                                              |          2 |           0.0085 |           0.0042
ExpansionQuestModule::CheckAndSpawnObjectSet                                               |          2 |           0.0084 |           0.0042
ExpansionQuestModule::CleanupPlayerQuests                                                  |          1 |           4.0832 |           4.0832
ExpansionQuestModule::GetObjectiveProgressFromQuestData                                    |          2 |           1.2810 |           0.6405
ExpansionQuestModule::InitClientQuests                                                     |          2 |          31.9669 |          15.9834
ExpansionQuestModule::InitClientQuests_AutoAndAchievementQuests                            |          2 |           1.2036 |           0.6018
ExpansionQuestModule::InitClientQuests_Groups                                              |          2 |           0.0118 |           0.0059
ExpansionQuestModule::InitClientQuests_NormalQuests                                        |          2 |          11.8384 |           5.9192
ExpansionQuestModule::InitQuestSystemClient                                                |          2 |          35.8308 |          17.9154
ExpansionQuestModule::LoadObjectSets                                                       |          1 |           0.0140 |           0.0140
