NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
Chat::Init                                                                                 |          1 |           7.8562 |           7.8562
ExpansionChatLineBase::ExpansionChatLineBase                                               |        100 |           4.6315 |           0.0463
ExpansionChatUIWindow::CreateChatLines                                                     |        100 |         172.6640 |           1.7266
ExpansionChatUIWindow::ExpansionChatUIWindow                                               |          1 |           6.5374 |           6.5374
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           0.5728 |           0.5728
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.3987 |           0.3987
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.0026 |           0.0026
ExpansionP2PMarketModule::ClientModuleInit                                                 |          1 |           0.0048 |           0.0048
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0023 |           0.0023
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0079 |           0.0079
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |           0.2214 |           0.2214
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           0.0025 |           0.0025
ExpansionQuestHUD::ExpansionQuestHUD                                                       |          1 |           0.0083 |           0.0083
ExpansionQuestHUD::OnHide                                                                  |         19 |           0.0629 |           0.0033
ExpansionQuestHUD::OnShow                                                                  |         19 |           3.8771 |           0.2040
ExpansionQuestHUD::ShowHud                                                                 |         37 |          10.6674 |           0.2883
ExpansionQuestHUD::UpdateView                                                              |         20 |           0.4609 |           0.0230
ExpansionQuestModule::Exec_DeferredSendClientQuestData                                     |          1 |           3.0064 |           3.0064
ExpansionQuestModule::OnInit                                                               |          1 |           0.0183 |           0.0183
ExpansionQuestModule::OnMissionFinish                                                      |          1 |           0.0037 |           0.0037
ExpansionQuestModule::OnMissionLoaded                                                      |          1 |           0.0058 |           0.0058
ExpansionQuestModule::OnMissionStart                                                       |          1 |           0.0040 |           0.0040
ExpansionQuestModule::OnRPC                                                                |          1 |           6.1174 |           6.1174
ExpansionQuestModule::QuestDisplayConditions                                               |          4 |           1.2260 |           0.3065
ExpansionQuestModule::RPC_SendClientQuestData                                              |          1 |           5.8270 |           5.8270
ExpansionQuestModule::UpdateQuestNPCIndicators                                             |          1 |           2.7095 |           2.7095
ExpansionQuestObjectiveData::OnRecieve                                                     |          4 |           0.0274 |           0.0068
ExpansionQuestPersistentData::OnRead                                                       |          1 |           2.9415 |           2.9415
ExpansionQuestPersistentQuestData::OnRead                                                  |          4 |           2.1812 |           0.5453
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0192 |           0.0192
ExpansionRespawnHandlerModule::OnMissionFinish                                             |          1 |           0.0041 |           0.0041
ExpansionRespawnHandlerModule::OnMissionStart                                              |          1 |           0.0030 |           0.0030
ExpansionSettings::GameInit                                                                |          2 |          73.4711 |          36.7355
ExpansionSettings::Init                                                                    |          2 |           0.0250 |           0.0125
ExpansionSettings::Receive                                                                 |         23 |          70.6426 |           3.0714
ExpansionSettings::Unload                                                                  |          1 |           0.0376 |           0.0376
ExpansionVodnik::EEInit                                                                    |          1 |           0.0147 |           0.0147
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0114 |           0.0114
ExpansionWorldObjectsModule::OnMissionFinish                                               |          1 |           0.2348 |           0.2348
ExpansionWorldObjectsModule::OnMissionStart                                                |          1 |           0.0050 |           0.0050
ExpansionWorldObjectsModule::OnRPC                                                         |          1 |           0.0076 |           0.0076
ExpansionWorldObjectsModule::RPC_RemoveObjects                                             |          1 |           0.0030 |           0.0030
ExpansionWorldObjectsModule::RestoreRemovedObjects                                         |          1 |           0.0065 |           0.0065
Land_Lighthouse::Land_Lighthouse                                                           |          2 |           0.0271 |           0.0135
Land_Lighthouse::OnEnable                                                                  |          2 |           0.2766 |           0.1383
Land_Lighthouse::OnSettingsUpdated                                                         |          2 |           0.9246 |           0.4623
Land_Lighthouse::~Land_Lighthouse                                                          |          2 |           0.0094 |           0.0047
MissionGameplay::CreateScriptedMenu                                                        |          5 |         153.0230 |          30.6046
MissionGameplay::InitExpansionChat                                                         |          1 |           0.6185 |           0.6185
MissionGameplay::InitExpansionQuestHud                                                     |          1 |           1.0720 |           1.0720
MissionGameplay::SwitchChatChannelToDirect                                                 |          1 |           0.0081 |           0.0081
MissionMainMenu::CreateScriptedMenu                                                        |          1 |           0.0129 |           0.0129
SurvivorBase::OnPlayerLoaded                                                               |          2 |           1.3174 |           0.6587
