NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
ActionBase::AssignQuestObjective                                                           |          1 |           0.0039 |           0.0039
ActionBase::DeassignQuestObjective                                                         |          2 |           0.0070 |           0.0035
Animal_CanisLupus::EEKilled                                                                |          3 |           0.2863 |           0.0954
Animal_UrsusArctos::EEKilled                                                               |          2 |           0.2504 |           0.1252
ExpansionBus::EEInit                                                                       |          3 |           0.2065 |           0.0688
ExpansionBus::Expansion_EngineStart#1322819                                                |          1 |           0.1030 |           0.1030
ExpansionEntityStorageModule::OnMissionStart                                               |          1 |           0.1595 |           0.1595
ExpansionGarageModule::LoadGarageData                                                      |          1 |           0.1971 |           0.1971
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.3854 |           0.3854
ExpansionGyrocopter::EEInit                                                                |          1 |           0.0938 |           0.0938
ExpansionGyrocopter::Expansion_EngineStart#1322819                                         |          1 |           0.0586 |           0.0586
ExpansionHardlineModule::OnClientDisconnect                                                |          1 |           0.1109 |           0.1109
ExpansionHardlineModule::OnClientPrepare                                                   |          1 |           0.0101 |           0.0101
ExpansionHardlineModule::OnInvokeConnect                                                   |          1 |           0.0156 |           0.0156
ExpansionHatchBird::EEInit                                                                 |          1 |           0.0360 |           0.0360
ExpansionHatchBird::Expansion_EngineStart#1322819                                          |          2 |           0.1340 |           0.0670
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.2402 |           0.2402
ExpansionMarketCategory::GetGlobalItem                                                     |       3118 |           3.2116 |           0.0010
ExpansionMarketModule::StartTrading                                                        |          2 |           0.0485 |           0.0242
ExpansionMerlin::EEInit                                                                    |          3 |           0.1227 |           0.0409
ExpansionMh6::EEInit                                                                       |          3 |           0.1187 |           0.0395
ExpansionMh6::Expansion_EngineStart#1322819                                                |          1 |           0.0369 |           0.0369
ExpansionMissionModule::OnMissionLoaded                                                    |          1 |          12.1173 |          12.1173
ExpansionMissionModule::StartNewMissions                                                   |          1 |           0.0032 |           0.0032
ExpansionP2PMarketModule::CheckListingsTimes                                               |         65 |           1.4815 |           0.0227
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0023 |           0.0023
