NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
Chat::Init                                                                                 |          1 |           9.3179 |           9.3179
ExpansionBus::EEInit                                                                       |          2 |           0.0317 |           0.0158
ExpansionChatLineBase::ExpansionChatLineBase                                               |        100 |           4.0761 |           0.0407
ExpansionChatUIWindow::CreateChatLines                                                     |        100 |         238.2150 |           2.3821
ExpansionChatUIWindow::ExpansionChatUIWindow                                               |          1 |           7.8618 |           7.8618
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           0.8140 |           0.8140
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.3857 |           0.3857
ExpansionHatchBird::EEInit                                                                 |          2 |           0.0360 |           0.0180
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.0025 |           0.0025
ExpansionMerlin::EEInit                                                                    |         11 |           0.2037 |           0.0185
ExpansionMh6::EEInit                                                                       |         25 |           0.6192 |           0.0247
ExpansionP2PMarketModule::ClientModuleInit                                                 |          1 |           0.0045 |           0.0045
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0044 |           0.0044
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0113 |           0.0113
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |           0.3278 |           0.3278
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           0.0043 |           0.0043
ExpansionQuestHUD::ExpansionQuestHUD                                                       |          1 |           0.0074 |           0.0074
ExpansionQuestHUD::OnHide                                                                  |         37 |           0.1568 |           0.0042
ExpansionQuestHUD::OnShow                                                                  |         38 |          13.3215 |           0.3505
ExpansionQuestHUD::ShowHud                                                                 |         74 |          32.0672 |           0.4333
ExpansionQuestHUD::UpdateView                                                              |         40 |           2.3194 |           0.0579
ExpansionQuestModule::Exec_DeferredSendClientQuestData                                     |          2 |          23.6517 |          11.8258
ExpansionQuestModule::OnInit                                                               |          1 |           0.0189 |           0.0189
ExpansionQuestModule::OnMissionFinish                                                      |          1 |           0.0187 |           0.0187
ExpansionQuestModule::OnMissionLoaded                                                      |          1 |           0.0086 |           0.0086
ExpansionQuestModule::OnMissionStart                                                       |          1 |           0.0045 |           0.0045
ExpansionQuestModule::OnRPC                                                                |          2 |           6.6414 |           3.3207
ExpansionQuestModule::QuestDisplayConditions                                               |          8 |          14.5970 |           1.8246
ExpansionQuestModule::RPC_SendClientQuestData                                              |          2 |           6.2648 |           3.1324
ExpansionQuestModule::UpdateQuestNPCIndicators                                             |          2 |          22.8059 |          11.4029
ExpansionQuestObjectiveData::OnRecieve                                                     |          8 |           0.0780 |           0.0097
