NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
ActionBase::AssignQuestObjective                                                           |          2 |           0.0074 |           0.0037
ActionBase::DeassignQuestObjective                                                         |          4 |           0.0178 |           0.0044
ExpansionBus::EEInit                                                                       |          1 |           0.0616 |           0.0616
ExpansionBus::Expansion_EngineStart#1322865                                                |          1 |           0.0993 |           0.0993
ExpansionEntityStorageModule::OnMissionStart                                               |          1 |           0.0932 |           0.0932
ExpansionGarageModule::LoadGarageData                                                      |          1 |           0.1733 |           0.1733
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.3792 |           0.3792
ExpansionHardlineModule::OnClientDisconnect                                                |          2 |           0.1113 |           0.0556
ExpansionHardlineModule::OnClientPrepare                                                   |          2 |           0.1174 |           0.0587
ExpansionHardlineModule::OnInvokeConnect                                                   |          2 |           0.0313 |           0.0156
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.2238 |           0.2238
ExpansionMarketCategory::GetGlobalItem                                                     |       2936 |           2.9573 |           0.0010
ExpansionMissionModule::OnMissionLoaded                                                    |          1 |           9.4209 |           9.4209
ExpansionMissionModule::StartNewMissions                                                   |          1 |           0.0039 |           0.0039
ExpansionP2PMarketModule::CheckListingsTimes                                               |        134 |           5.3752 |           0.0401
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0033 |           0.0033
ExpansionP2PMarketModule::LoadP2PMarketServerData                                          |          1 |           2.7754 |           2.7754
ExpansionP2PMarketModule::LoadP2PMarketTraderData                                          |          1 |           2.1526 |           2.1526
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0116 |           0.0116
ExpansionP2PMarketModule::OnInvokeConnect                                                  |          2 |           0.0498 |           0.0249
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |         350.5610 |         350.5610
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           3.1967 |           3.1967
ExpansionP2PMarketModule::ServerModuleInit                                                 |          1 |         350.3580 |         350.3580
ExpansionP2PTraderAIIrena::OnPlayerLoaded                                                  |          1 |           0.5642 |           0.5642
ExpansionPathHandler::OnUpdate                                                             |    1445386 |       12573.2000 |           0.0086
ExpansionPersonalStorageModule::LoadPersonalStorageServerConfig                            |          1 |           2.5268 |           2.5268
ExpansionQuest::CreateObjectivesFromConfig                                                 |          4 |           1.2453 |           0.3113
ExpansionQuest::ExpansionQuest                                                             |          4 |           0.0141 |           0.0035
ExpansionQuest::Finalize                                                                   |          4 |           2.3934 |           0.5983
ExpansionQuest::OnQuestCleanup                                                             |          4 |           9.0838 |           2.2709
ExpansionQuest::OnQuestContinue                                                            |          4 |           7.7954 |           1.9488
ExpansionQuest::QuestCompletionCheck                                                       |          4 |           1.2097 |           0.3024
ExpansionQuest::RemoveQuestMarkers                                                         |          4 |           0.0335 |           0.0083
ExpansionQuest::SetCurrentObjectiveIndex                                                   |          4 |           0.1621 |           0.0405
ExpansionQuest::SetPlayerUID                                                               |          4 |           0.2004 |           0.0501
ExpansionQuest::SetQuestState                                                              |          4 |           0.1865 |           0.0466
ExpansionQuest::UpdateQuest                                                                |          4 |           3.4863 |           0.8715
ExpansionQuestConfig::Load                                                                 |         21 |          28.2906 |           1.3471
ExpansionQuestConfig::OnSend                                                               |         42 |           1.6628 |           0.0395
ExpansionQuestConfig::ValidateQuestConfiguration                                           |         21 |           0.2097 |           0.0099
ExpansionQuestModule::CheckAndDeleteObjectSet                                              |          4 |           0.0942 |           0.0235
ExpansionQuestModule::CheckAndSpawnObjectSet                                               |          4 |           0.0182 |           0.0045
ExpansionQuestModule::CleanupPlayerQuests                                                  |          2 |          12.0493 |           6.0246
ExpansionQuestModule::GetObjectiveProgressFromQuestData                                    |          4 |           2.4066 |           0.6016
ExpansionQuestModule::InitClientQuests                                                     |          2 |          45.8697 |          22.9348
ExpansionQuestModule::InitClientQuests_AutoAndAchievementQuests                            |          2 |           2.3085 |           1.1542
ExpansionQuestModule::InitClientQuests_Groups                                              |          2 |           0.0132 |           0.0066
