NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
Chat::Init                                                                                 |          1 |           7.2361 |           7.2361
ExpansionBus::EEInit                                                                       |          3 |           0.0504 |           0.0168
ExpansionChatLineBase::ExpansionChatLineBase                                               |        100 |           4.0387 |           0.0403
ExpansionChatUIWindow::CreateChatLines                                                     |        100 |         183.1660 |           1.8316
ExpansionChatUIWindow::ExpansionChatUIWindow                                               |          1 |           6.1710 |           6.1710
ExpansionChatUIWindow::OnSettingChanged                                                    |         49 |           0.2861 |           0.0058
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           0.5159 |           0.5159
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.3645 |           0.3645
ExpansionHatchBird::EEInit                                                                 |          2 |           0.0270 |           0.0135
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.0027 |           0.0027
ExpansionMerlin::EEInit                                                                    |         25 |           0.4131 |           0.0165
ExpansionMh6::EEInit                                                                       |         34 |           0.5209 |           0.0153
ExpansionP2PMarketModule::ClientModuleInit                                                 |          1 |           0.0066 |           0.0066
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0026 |           0.0026
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0072 |           0.0072
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |           0.2522 |           0.2522
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           0.0021 |           0.0021
ExpansionQuestHUD::ExpansionQuestHUD                                                       |          1 |           0.0106 |           0.0106
ExpansionQuestHUD::OnHide                                                                  |         13 |           0.0498 |           0.0038
ExpansionQuestHUD::OnShow                                                                  |         13 |           2.6058 |           0.2004
ExpansionQuestHUD::ShowHud                                                                 |         25 |           8.1308 |           0.3252
ExpansionQuestHUD::UpdateView                                                              |         16 |           0.4526 |           0.0282
ExpansionQuestModule::Exec_DeferredSendClientQuestData                                     |          3 |          12.3491 |           4.1163
ExpansionQuestModule::OnInit                                                               |          1 |           0.0140 |           0.0140
ExpansionQuestModule::OnMissionFinish                                                      |          1 |           0.0046 |           0.0046
ExpansionQuestModule::OnMissionLoaded                                                      |          1 |           0.0059 |           0.0059
ExpansionQuestModule::OnMissionStart                                                       |          1 |           0.0037 |           0.0037
