NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
ActionBase::AssignQuestObjective                                                           |          1 |           0.0041 |           0.0041
ActionBase::DeassignQuestObjective                                                         |          2 |           0.0141 |           0.0070
ExpansionEntityStorageModule::OnMissionStart                                               |          1 |           0.1529 |           0.1529
ExpansionGarageModule::LoadGarageData                                                      |          1 |           0.2040 |           0.2040
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.4007 |           0.4007
ExpansionHardlineModule::OnClientDisconnect                                                |          1 |           0.4210 |           0.4210
ExpansionHardlineModule::OnClientPrepare                                                   |          1 |           0.0099 |           0.0099
ExpansionHardlineModule::OnInvokeConnect                                                   |          1 |           0.0163 |           0.0163
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.2540 |           0.2540
ExpansionMarketCategory::GetGlobalItem                                                     |       2448 |           2.7720 |           0.0011
ExpansionMissionModule::OnMissionLoaded                                                    |          1 |         108.3070 |         108.3070
ExpansionMissionModule::StartNewMissions                                                   |          1 |           0.0039 |           0.0039
ExpansionP2PMarketModule::CheckListingsTimes                                               |        129 |           1.8720 |           0.0145
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0027 |           0.0027
ExpansionP2PMarketModule::LoadP2PMarketServerData                                          |          1 |           9.3233 |           9.3233
ExpansionP2PMarketModule::LoadP2PMarketTraderData                                          |          1 |           8.5580 |           8.5580
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0097 |           0.0097
ExpansionP2PMarketModule::OnInvokeConnect                                                  |          1 |           0.0066 |           0.0066
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |         660.1300 |         660.1300
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           9.9782 |           9.9782
ExpansionP2PMarketModule::ServerModuleInit                                                 |          1 |         659.8820 |         659.8820
ExpansionP2PTraderAIIrena::OnPlayerLoaded                                                  |          1 |           0.7788 |           0.7788
ExpansionPathHandler::OnUpdate                                                             |    1386690 |       10806.1000 |           0.0077
ExpansionPersonalStorageModule::LoadPersonalStorageServerConfig                            |          1 |           9.7320 |           9.7320
ExpansionQuest::CreateObjectivesFromConfig                                                 |          2 |           0.7033 |           0.3516
ExpansionQuest::ExpansionQuest                                                             |          2 |           0.0072 |           0.0036
ExpansionQuest::Finalize                                                                   |          2 |           1.5267 |           0.7633
ExpansionQuest::OnQuestCleanup                                                             |          2 |          11.2875 |           5.6437
ExpansionQuest::OnQuestContinue                                                            |          2 |           6.5667 |           3.2833
ExpansionQuest::QuestCompletionCheck                                                       |          2 |           0.9964 |           0.4982
ExpansionQuest::RemoveQuestMarkers                                                         |          2 |           0.0244 |           0.0122
ExpansionQuest::SetCurrentObjectiveIndex                                                   |          2 |           0.0868 |           0.0434
ExpansionQuest::SetPlayerUID                                                               |          2 |           0.1217 |           0.0608
ExpansionQuest::SetQuestState                                                              |          2 |           0.0972 |           0.0486
ExpansionQuest::UpdateQuest                                                                |          2 |           2.8165 |           1.4082
ExpansionQuestConfig::Load                                                                 |         21 |         171.8110 |           8.1814
ExpansionQuestConfig::OnSend                                                               |         21 |           0.5491 |           0.0261
ExpansionQuestConfig::ValidateQuestConfiguration                                           |         21 |           0.2886 |           0.0137
ExpansionQuestModule::CheckAndDeleteObjectSet                                              |          2 |           0.0271 |           0.0135
ExpansionQuestModule::CheckAndSpawnObjectSet                                               |          2 |           0.0071 |           0.0035
ExpansionQuestModule::CleanupPlayerQuests                                                  |          1 |          16.1204 |          16.1204
ExpansionQuestModule::GetObjectiveProgressFromQuestData                                    |          2 |           2.0418 |           1.0209
ExpansionQuestModule::InitClientQuests                                                     |          1 |          33.7144 |          33.7144
ExpansionQuestModule::InitClientQuests_AutoAndAchievementQuests                            |          1 |           0.7613 |           0.7613
ExpansionQuestModule::InitClientQuests_Groups                                              |          1 |           0.0047 |           0.0047
ExpansionQuestModule::InitClientQuests_NormalQuests                                        |          1 |          15.7674 |          15.7674
ExpansionQuestModule::InitQuestSystemClient                                                |          1 |          42.2666 |          42.2666
ExpansionQuestModule::LoadObjectSets                                                       |          1 |           0.0157 |           0.0157
ExpansionQuestModule::OnClientDisconnect                                                   |          1 |          19.0370 |          19.0370
ExpansionQuestModule::OnInit                                                               |          1 |           0.0161 |           0.0161
ExpansionQuestModule::OnInvokeConnect                                                      |          1 |           0.0819 |           0.0819
ExpansionQuestModule::OnMissionFinish                                                      |          1 |           0.3743 |           0.3743
ExpansionQuestModule::OnMissionLoaded                                                      |          1 |         254.2300 |         254.2300
ExpansionQuestModule::OnMissionStart                                                       |          1 |         399.1350 |         399.1350
ExpansionQuestModule::ProcessUpdateAndSync                                                 |          2 |           1.5466 |           0.7733
ExpansionQuestModule::RemoveClientMarkers                                                  |          2 |           0.3959 |           0.1979
ExpansionQuestModule::SendClientQuestData                                                  |          1 |          10.8272 |          10.8272
ExpansionQuestModule::ServerModuleInit                                                     |          1 |         391.6830 |         391.6830
ExpansionQuestModule::UpdateQuestForQuestPlayers                                           |          2 |           2.2387 |           1.1193
ExpansionQuestModule::UpdateQuestObjectiveData                                             |          2 |           0.8957 |           0.4478
ExpansionQuestNPCAIDenis::OnPlayerLoaded                                                   |          1 |           0.4987 |           0.4987
ExpansionQuestNPCAIElias::OnPlayerLoaded                                                   |          1 |           0.6525 |           0.6525
ExpansionQuestObjectiveActionEvent::AssignObjectiveOnClasses                               |          1 |           0.3242 |           0.3242
ExpansionQuestObjectiveActionEvent::CanComplete                                            |          1 |           0.1550 |           0.1550
ExpansionQuestObjectiveActionEvent::DeassignObjectiveOnClasses                             |          2 |           1.4550 |           0.7275
ExpansionQuestObjectiveActionEvent::ExpansionQuestObjectiveEventBase                       |          1 |           0.0024 |           0.0024
ExpansionQuestObjectiveActionEvent::OnContinue                                             |          1 |           0.9846 |           0.9846
ExpansionQuestObjectiveActionEvent::OnObjectiveActionExecuted                              |         33 |           0.3722 |           0.0112
ExpansionQuestObjectiveActionEvent::RemoveObjectiveMarkers                                 |          1 |           0.6031 |           0.6031
ExpansionQuestObjectiveActionEvent::SetActionState                                         |          1 |           0.0428 |           0.0428
ExpansionQuestObjectiveActionEvent::SetExecutionCount                                      |          1 |           0.0814 |           0.0814
ExpansionQuestObjectiveData::OnRecieve                                                     |          4 |           0.0294 |           0.0073
ExpansionQuestObjectiveData::OnSend                                                        |          8 |           0.7479 |           0.0934
ExpansionQuestObjectiveTargetEvent::AssignObjectiveOnClasses                               |          1 |           0.2673 |           0.2673
ExpansionQuestObjectiveTargetEvent::CanComplete                                            |          1 |           0.1294 |           0.1294
ExpansionQuestObjectiveTargetEvent::DeassignObjectiveOnClasses                             |          2 |           2.2066 |           1.1033
ExpansionQuestObjectiveTargetEvent::ExpansionQuestObjectiveEventBase                       |          1 |           0.0024 |           0.0024
ExpansionQuestObjectiveTargetEvent::RemoveObjectiveMarkers                                 |          1 |           1.4775 |           1.4775
ExpansionQuestObjectiveTargetEvent::SetCount                                               |          1 |           0.0427 |           0.0427
ExpansionQuestPersistentData::GetQuestObjectiveByQuestIDAndIndex                           |          2 |           0.0183 |           0.0091
ExpansionQuestPersistentData::OnRead                                                       |          1 |           1.9842 |           1.9842
ExpansionQuestPersistentData::OnWrite                                                      |          2 |           6.3473 |           3.1736
ExpansionQuestPersistentData::Save                                                         |          1 |           4.9080 |           4.9080
ExpansionQuestPersistentQuestData::OnRead                                                  |          4 |           1.0072 |           0.2518
ExpansionQuestPersistentQuestData::OnWrite                                                 |          8 |           3.8001 |           0.4750
ExpansionQuestPersistentServerData::Save                                                   |          1 |           0.6429 |           0.6429
ExpansionQuestSettings::OnLoad                                                             |          1 |           7.4727 |           7.4727
ExpansionRespawnHandlerModule::CheckResumeSpawnSelection                                   |          1 |           0.0081 |           0.0081
ExpansionRespawnHandlerModule::Load                                                        |          1 |           0.2068 |           0.2068
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0191 |           0.0191
ExpansionRespawnHandlerModule::OnInvokeConnect                                             |          1 |           0.0067 |           0.0067
ExpansionRespawnHandlerModule::OnMissionFinish                                             |          1 |           2.0029 |           2.0029
ExpansionRespawnHandlerModule::OnMissionStart                                              |          1 |           0.7284 |           0.7284
ExpansionRespawnHandlerModule::Save                                                        |          1 |           1.3220 |           1.3220
ExpansionSettings::Init                                                                    |          1 |           0.0217 |           0.0217
ExpansionSettings::ServerInit                                                              |          1 |        1373.4500 |        1373.4500
ExpansionWorldObjectsModule::LoadObjectsFile                                               |          1 |           8.2609 |           8.2609
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0267 |           0.0267
ExpansionWorldObjectsModule::OnInvokeConnect                                               |          1 |           0.0047 |           0.0047
ExpansionWorldObjectsModule::OnMissionFinish                                               |          1 |           0.4263 |           0.4263
ExpansionWorldObjectsModule::OnMissionStart                                                |          1 |        6627.3100 |        6627.3100
ExpansionWorldObjectsModule::OnRPC                                                         |          1 |           0.0049 |           0.0049
ExpansionWorldObjectsModule::RestoreRemovedObjects                                         |          1 |           0.0890 |           0.0890
ExpansionWorldObjectsModule::WriteRemovedObjects                                           |          1 |           0.0053 |           0.0053
Expansion_Master_FSM_0::Update                                                             |    1386672 |           147469 |           0.1063
SurvivorBase::OnPlayerLoaded                                                               |          1 |           0.5357 |           0.5357
ZombieBase::AssignQuestObjective                                                           |          1 |           0.0044 |           0.0044
ZombieBase::DeassignQuestObjective                                                         |          2 |           0.0868 |           0.0434
eAIBase::UpdateTargets                                                                     |    1386690 |       18640.2000 |           0.0134
eAIBase::eAI_PrioritizeTargets                                                             |     283440 |         650.9010 |           0.0022
eAIBase::eAI_SetAccuracy                                                                   |          6 |           0.0808 |           0.0134
eAIBase::eAI_SetDamageMultiplier                                                           |          3 |           0.0230 |           0.0076
eAIBase::eAI_SetThreatDistanceLimit                                                        |          6 |           0.0415 |           0.0069
eAICommandMove::PreAnimUpdate                                                              |     924484 |            30814 |           0.0333
