NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
AKM_Base::Expansion_TryTurningOffAnyLightsOrNVG                                            |          2 |           0.1276 |           0.0638
ActionBase::AssignQuestObjective                                                           |          1 |           0.0058 |           0.0058
ActionBase::DeassignQuestObjective                                                         |          2 |           0.0101 |           0.0050
Animal_CanisLupus::EEKilled                                                                |          1 |           0.0988 |           0.0988
Bastard_w123_skin3::EEInit                                                                 |          1 |           0.0245 |           0.0245
Bastard_w124_skin1::EEInit                                                                 |          1 |           0.0244 |           0.0244
Civilian_Vaz_2126_Red::EEInit                                                              |          1 |           0.0257 |           0.0257
CrSk_GAZ_3309::EEInit                                                                      |          1 |           0.0258 |           0.0258
CrSk_VAZ_2107::EEInit                                                                      |          1 |           0.0254 |           0.0254
ExpansionBigGyrocopter::EEInit                                                             |          1 |           0.0313 |           0.0313
ExpansionBigGyrocopter::Expansion_EngineStart#1322819                                      |          1 |           0.0491 |           0.0491
ExpansionCarKey::EEOnAfterLoad                                                             |          1 |           0.1092 |           0.1092
ExpansionEntityStorageModule::OnMissionStart                                               |          1 |           0.1696 |           0.1696
ExpansionGarageModule::LoadGarageData                                                      |          1 |           0.2325 |           0.2325
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.3855 |           0.3855
ExpansionHardlineModule::OnClientDisconnect                                                |          1 |           0.1335 |           0.1335
ExpansionHardlineModule::OnClientPrepare                                                   |          2 |           0.0222 |           0.0111
ExpansionHardlineModule::OnInvokeConnect                                                   |          2 |           0.0350 |           0.0175
ExpansionHatchBird::EEInit                                                                 |          1 |           0.0387 |           0.0387
ExpansionHatchBird::Expansion_EngineStart#1322819                                          |          1 |           0.0586 |           0.0586
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.2269 |           0.2269
ExpansionMarketCategory::GetGlobalItem                                                     |       3114 |           3.0497 |           0.0009
ExpansionMerlin::EEInit                                                                    |          1 |           0.0584 |           0.0584
ExpansionMh6::EEInit                                                                       |          2 |           0.0763 |           0.0381
ExpansionMh6::Expansion_EngineStart#1322819                                                |          2 |           0.0646 |           0.0323
ExpansionMissionModule::OnMissionLoaded                                                    |          1 |           8.8186 |           8.8186
ExpansionMissionModule::StartNewMissions                                                   |          1 |           0.0035 |           0.0035
ExpansionP2PMarketModule::CheckListingsTimes                                               |         37 |           0.9233 |           0.0249
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0031 |           0.0031
ExpansionP2PMarketModule::LoadP2PMarketServerData                                          |          1 |           1.9353 |           1.9353
ExpansionP2PMarketModule::LoadP2PMarketTraderData                                          |          1 |           1.3715 |           1.3715
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0122 |           0.0122
ExpansionP2PMarketModule::OnInvokeConnect                                                  |          2 |           0.0115 |           0.0057
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |         344.5100 |         344.5100
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           2.3935 |           2.3935
ExpansionP2PMarketModule::ServerModuleInit                                                 |          1 |         344.2900 |         344.2900
ExpansionP2PTraderAIIrena::OnPlayerLoaded                                                  |          1 |           0.6683 |           0.6683
ExpansionPathHandler::OnUpdate                                                             |     481116 |        8000.8600 |           0.0166
ExpansionPersonalStorageModule::LoadPersonalStorageServerConfig                            |          1 |           3.1116 |           3.1116
ExpansionQuest::CreateObjectivesFromConfig                                                 |          2 |           0.4699 |           0.2349
ExpansionQuest::ExpansionQuest                                                             |          2 |           0.0068 |           0.0034
ExpansionQuest::Finalize                                                                   |          2 |           1.0007 |           0.5003
ExpansionQuest::OnQuestCleanup                                                             |          2 |           5.7592 |           2.8796
ExpansionQuest::OnQuestContinue                                                            |          2 |           5.5219 |           2.7609
ExpansionQuest::QuestCompletionCheck                                                       |          3 |          10.7712 |           3.5904
ExpansionQuest::RemoveQuestMarkers                                                         |          2 |           0.0183 |           0.0091
ExpansionQuest::SetCurrentObjectiveIndex                                                   |          2 |           0.0703 |           0.0351
ExpansionQuest::SetPlayerUID                                                               |          2 |           0.0887 |           0.0443
ExpansionQuest::SetQuestState                                                              |          2 |           0.1179 |           0.0589
ExpansionQuest::UpdateQuest                                                                |          3 |          12.3762 |           4.1254
ExpansionQuestConfig::Load                                                                 |         21 |          25.0326 |           1.1920
ExpansionQuestConfig::OnSend                                                               |         21 |           0.3458 |           0.0164
ExpansionQuestConfig::ValidateQuestConfiguration                                           |         21 |           0.1956 |           0.0093
ExpansionQuestModule::CheckAndDeleteObjectSet                                              |          2 |           0.0210 |           0.0105
ExpansionQuestModule::CheckAndSpawnObjectSet                                               |          2 |           0.0078 |           0.0039
ExpansionQuestModule::CleanupPlayerQuests                                                  |          1 |           7.1004 |           7.1004
ExpansionQuestModule::GetObjectiveProgressFromQuestData                                    |          2 |           1.6833 |           0.8416
ExpansionQuestModule::InitClientQuests                                                     |          2 |          33.7044 |          16.8522
ExpansionQuestModule::InitClientQuests_AutoAndAchievementQuests                            |          2 |           4.4966 |           2.2483
ExpansionQuestModule::InitClientQuests_Groups                                              |          2 |           0.0103 |           0.0051
ExpansionQuestModule::InitClientQuests_NormalQuests                                        |          2 |          12.4995 |           6.2497
ExpansionQuestModule::InitQuestSystemClient                                                |          2 |          37.3001 |          18.6500
ExpansionQuestModule::LoadObjectSets                                                       |          1 |           0.0140 |           0.0140
ExpansionQuestModule::OnClientDisconnect                                                   |          1 |           7.5498 |           7.5498
ExpansionQuestModule::OnInit                                                               |          1 |           0.0157 |           0.0157
ExpansionQuestModule::OnInvokeConnect                                                      |          2 |           0.1165 |           0.0582
ExpansionQuestModule::OnMissionFinish                                                      |          1 |           0.0636 |           0.0636
ExpansionQuestModule::OnMissionLoaded                                                      |          1 |         125.2480 |         125.2480
ExpansionQuestModule::OnMissionStart                                                       |          1 |          79.2963 |          79.2963
ExpansionQuestModule::ProcessUpdateAndSync                                                 |          3 |          10.7912 |           3.5970
ExpansionQuestModule::SendClientQuestData                                                  |          3 |           7.2273 |           2.4091
ExpansionQuestModule::ServerModuleInit                                                     |          1 |          77.6381 |          77.6381
ExpansionQuestModule::UpdateQuestForQuestPlayers                                           |          3 |          11.8491 |           3.9497
ExpansionQuestModule::UpdateQuestObjectiveData                                             |          3 |           1.5985 |           0.5328
ExpansionQuestNPCAIDenis::OnPlayerLoaded                                                   |          1 |           0.4383 |           0.4383
ExpansionQuestNPCAIElias::OnPlayerLoaded                                                   |          1 |           0.3775 |           0.3775
ExpansionQuestObjectiveActionEvent::AssignObjectiveOnClasses                               |          1 |           0.2670 |           0.2670
ExpansionQuestObjectiveActionEvent::CanComplete                                            |          1 |           0.1144 |           0.1144
ExpansionQuestObjectiveActionEvent::DeassignObjectiveOnClasses                             |          2 |           1.0669 |           0.5334
ExpansionQuestObjectiveActionEvent::ExpansionQuestObjectiveEventBase                       |          1 |           0.0021 |           0.0021
ExpansionQuestObjectiveActionEvent::OnContinue                                             |          1 |           0.6078 |           0.6078
ExpansionQuestObjectiveActionEvent::OnObjectiveActionExecuted                              |         57 |           0.4647 |           0.0081
ExpansionQuestObjectiveActionEvent::RemoveObjectiveMarkers                                 |          1 |           0.0084 |           0.0084
ExpansionQuestObjectiveActionEvent::SetActionState                                         |          1 |           0.0326 |           0.0326
ExpansionQuestObjectiveActionEvent::SetExecutionCount                                      |          1 |           0.0365 |           0.0365
ExpansionQuestObjectiveData::OnRecieve                                                     |          4 |           0.0272 |           0.0068
ExpansionQuestObjectiveData::OnSend                                                        |         21 |           2.2497 |           0.1071
ExpansionQuestObjectiveTargetEvent::AssignObjectiveOnClasses                               |          1 |           0.1920 |           0.1920
ExpansionQuestObjectiveTargetEvent::CanComplete                                            |          2 |           0.2355 |           0.1177
ExpansionQuestObjectiveTargetEvent::DeassignObjectiveOnClasses                             |          2 |           0.5490 |           0.2745
ExpansionQuestObjectiveTargetEvent::ExpansionQuestObjectiveEventBase                       |          1 |           0.0022 |           0.0022
ExpansionQuestObjectiveTargetEvent::OnEntityKilled                                         |          1 |          10.7555 |          10.7555
ExpansionQuestObjectiveTargetEvent::RemoveObjectiveMarkers                                 |          1 |           0.0072 |           0.0072
ExpansionQuestObjectiveTargetEvent::SetCount                                               |          1 |           0.0375 |           0.0375
ExpansionQuestPersistentData::GetQuestObjectiveByQuestIDAndIndex                           |          3 |           0.0252 |           0.0084
ExpansionQuestPersistentData::OnRead                                                       |          1 |           1.1136 |           1.1136
ExpansionQuestPersistentData::OnWrite                                                      |          6 |          14.3523 |           2.3920
ExpansionQuestPersistentData::Save                                                         |          3 |          15.8420 |           5.2806
ExpansionQuestPersistentQuestData::OnRead                                                  |          4 |           0.6068 |           0.1517
ExpansionQuestPersistentQuestData::OnWrite                                                 |         21 |           8.0400 |           0.3828
ExpansionQuestPersistentServerData::Save                                                   |          1 |           0.6445 |           0.6445
ExpansionQuestSettings::OnLoad                                                             |          1 |           1.4419 |           1.4419
ExpansionRespawnHandlerModule::CheckResumeSpawnSelection                                   |          1 |           0.0075 |           0.0075
ExpansionRespawnHandlerModule::EndSpawnSelection                                           |          1 |           1.0613 |           1.0613
ExpansionRespawnHandlerModule::Exec_SelectSpawn                                            |          1 |           2.3935 |           2.3935
ExpansionRespawnHandlerModule::GetTerritoryList                                            |          1 |           0.0109 |           0.0109
ExpansionRespawnHandlerModule::Load                                                        |          1 |           0.3272 |           0.3272
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0174 |           0.0174
ExpansionRespawnHandlerModule::OnInvokeConnect                                             |          2 |           0.0135 |           0.0067
ExpansionRespawnHandlerModule::OnMissionFinish                                             |          1 |           1.1481 |           1.1481
ExpansionRespawnHandlerModule::OnMissionStart                                              |          1 |           0.8980 |           0.8980
ExpansionRespawnHandlerModule::OnRPC                                                       |          1 |           2.7697 |           2.7697
ExpansionRespawnHandlerModule::ProcessCooldown                                             |          1 |           0.0044 |           0.0044
ExpansionRespawnHandlerModule::RPC_SelectSpawn                                             |          1 |           2.6009 |           2.6009
ExpansionRespawnHandlerModule::ResetItemWetness                                            |          1 |           0.0297 |           0.0297
ExpansionRespawnHandlerModule::Save                                                        |          3 |           2.4120 |           0.8040
ExpansionRespawnHandlerModule::StartSpawnSelection                                         |          1 |           1.2760 |           1.2760
ExpansionSettings::Init                                                                    |          1 |           0.0183 |           0.0183
