NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
Chat::Init                                                                                 |          1 |           6.9983 |           6.9983
ExpansionChatLineBase::ExpansionChatLineBase                                               |        100 |           4.5974 |           0.0459
ExpansionChatUIWindow::CreateChatLines                                                     |        100 |         206.4270 |           2.0642
ExpansionChatUIWindow::ExpansionChatUIWindow                                               |          1 |           5.8463 |           5.8463
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           0.4763 |           0.4763
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.4172 |           0.4172
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.0029 |           0.0029
ExpansionP2PMarketModule::ClientModuleInit                                                 |          1 |           0.0046 |           0.0046
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0026 |           0.0026
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0074 |           0.0074
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |           0.2109 |           0.2109
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           0.0025 |           0.0025
ExpansionQuestHUD::ExpansionQuestHUD                                                       |          1 |           0.0086 |           0.0086
ExpansionQuestHUD::OnHide                                                                  |         19 |           0.0621 |           0.0032
ExpansionQuestHUD::OnShow                                                                  |         19 |           3.8480 |           0.2025
ExpansionQuestHUD::ShowHud                                                                 |         37 |          10.2942 |           0.2782
ExpansionQuestHUD::UpdateView                                                              |         20 |           0.4844 |           0.0242
ExpansionQuestModule::Exec_DeferredSendClientQuestData                                     |          1 |           3.3874 |           3.3874
ExpansionQuestModule::OnInit                                                               |          1 |           0.0141 |           0.0141
ExpansionQuestModule::OnMissionFinish                                                      |          1 |           0.0038 |           0.0038
ExpansionQuestModule::OnMissionLoaded                                                      |          1 |           0.0076 |           0.0076
ExpansionQuestModule::OnMissionStart                                                       |          1 |           0.0036 |           0.0036
ExpansionQuestModule::OnRPC                                                                |          1 |           3.5352 |           3.5352
ExpansionQuestModule::QuestDisplayConditions                                               |          4 |           1.3973 |           0.3493
ExpansionQuestModule::RPC_SendClientQuestData                                              |          1 |           3.3269 |           3.3269
ExpansionQuestModule::UpdateQuestNPCIndicators                                             |          1 |           2.9760 |           2.9760
ExpansionQuestObjectiveData::OnRecieve                                                     |          4 |           0.0336 |           0.0084
ExpansionQuestPersistentData::OnRead                                                       |          1 |           1.6682 |           1.6682
ExpansionQuestPersistentQuestData::OnRead                                                  |          4 |           0.8659 |           0.2164
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0281 |           0.0281
ExpansionRespawnHandlerModule::OnMissionFinish                                             |          1 |           0.0044 |           0.0044
ExpansionRespawnHandlerModule::OnMissionStart                                              |          1 |           0.0038 |           0.0038
ExpansionSettings::GameInit                                                                |          2 |          71.0294 |          35.5147
ExpansionSettings::Init                                                                    |          2 |           0.0240 |           0.0120
ExpansionSettings::Receive                                                                 |         23 |          60.1177 |           2.6138
ExpansionSettings::Unload                                                                  |          1 |           0.0455 |           0.0455
ExpansionVodnik::EEInit                                                                    |          1 |           0.0178 |           0.0178
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0110 |           0.0110
ExpansionWorldObjectsModule::OnMissionFinish                                               |          1 |           0.3025 |           0.3025
ExpansionWorldObjectsModule::OnMissionStart                                                |          1 |           0.0036 |           0.0036
ExpansionWorldObjectsModule::OnRPC                                                         |          1 |           0.0059 |           0.0059
ExpansionWorldObjectsModule::RPC_RemoveObjects                                             |          1 |           0.0030 |           0.0030
ExpansionWorldObjectsModule::RestoreRemovedObjects                                         |          1 |           0.0066 |           0.0066
Land_Lighthouse::Land_Lighthouse                                                           |          2 |           0.0185 |           0.0092
Land_Lighthouse::OnEnable                                                                  |          2 |           0.1477 |           0.0738
Land_Lighthouse::OnSettingsUpdated                                                         |          2 |           0.6282 |           0.3141
Land_Lighthouse::~Land_Lighthouse                                                          |          2 |           0.0179 |           0.0089
MissionGameplay::CreateScriptedMenu                                                        |          4 |         144.8270 |          36.2069
MissionGameplay::InitExpansionChat                                                         |          1 |           0.5419 |           0.5419
MissionGameplay::InitExpansionQuestHud                                                     |          1 |           1.2505 |           1.2505
MissionGameplay::SwitchChatChannelToDirect                                                 |          1 |           0.0069 |           0.0069
MissionMainMenu::CreateScriptedMenu                                                        |          1 |           0.0128 |           0.0128
SurvivorBase::OnPlayerLoaded                                                               |          2 |           0.9984 |           0.4992
