NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
ExpansionBus::EEInit                                                                       |          1 |           0.0292 |           0.0292
ExpansionEntityStorageModule::OnMissionStart                                               |          1 |           0.0964 |           0.0964
ExpansionGarageModule::LoadGarageData                                                      |          1 |           0.2120 |           0.2120
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.4179 |           0.4179
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.3018 |           0.3018
ExpansionMarketCategory::GetGlobalItem                                                     |       3114 |           3.2009 |           0.0010
ExpansionMerlin::EEInit                                                                    |          2 |           0.1264 |           0.0632
ExpansionMh6::EEInit                                                                       |          2 |           0.0888 |           0.0444
ExpansionMissionModule::OnMissionLoaded                                                    |          1 |          11.6074 |          11.6074
ExpansionMissionModule::StartNewMissions                                                   |          1 |           0.0175 |           0.0175
ExpansionP2PMarketModule::CheckListingsTimes                                               |          1 |           0.0085 |           0.0085
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0027 |           0.0027
ExpansionP2PMarketModule::LoadP2PMarketServerData                                          |          1 |           2.0258 |           2.0258
ExpansionP2PMarketModule::LoadP2PMarketTraderData                                          |          1 |           1.4338 |           1.4338
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0089 |           0.0089
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |         368.8400 |         368.8400
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           2.4026 |           2.4026
ExpansionP2PMarketModule::ServerModuleInit                                                 |          1 |         368.5600 |         368.5600
ExpansionP2PTraderAIIrena::OnPlayerLoaded                                                  |          1 |           1.1667 |           1.1667
ExpansionPathHandler::OnUpdate                                                             |       7368 |          55.9584 |           0.0075
ExpansionPersonalStorageModule::LoadPersonalStorageServerConfig                            |          1 |           3.1745 |           3.1745
ExpansionQuestConfig::Load                                                                 |         21 |          29.6093 |           1.4099
ExpansionQuestConfig::ValidateQuestConfiguration                                           |         21 |           0.2430 |           0.0115
ExpansionQuestModule::LoadObjectSets                                                       |          1 |           0.0152 |           0.0152
ExpansionQuestModule::OnInit                                                               |          1 |           0.0151 |           0.0151
ExpansionQuestModule::OnMissionFinish                                                      |          1 |           0.0169 |           0.0169
ExpansionQuestModule::OnMissionLoaded                                                      |          1 |         128.5630 |         128.5630
ExpansionQuestModule::OnMissionStart                                                       |          1 |          93.5887 |          93.5887
ExpansionQuestModule::ServerModuleInit                                                     |          1 |          92.0076 |          92.0076
ExpansionQuestNPCAIDenis::OnPlayerLoaded                                                   |          1 |           0.7960 |           0.7960
ExpansionQuestNPCAIElias::OnPlayerLoaded                                                   |          1 |           0.4062 |           0.4062
ExpansionQuestPersistentServerData::Save                                                   |          1 |           0.5290 |           0.5290
ExpansionQuestSettings::OnLoad                                                             |          1 |           1.1479 |           1.1479
ExpansionRespawnHandlerModule::Load                                                        |          1 |           0.2003 |           0.2003
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0198 |           0.0198
ExpansionRespawnHandlerModule::OnMissionFinish                                             |          1 |           0.7987 |           0.7987
ExpansionRespawnHandlerModule::OnMissionStart                                              |          1 |           0.6861 |           0.6861
ExpansionRespawnHandlerModule::Save                                                        |          1 |           0.6059 |           0.6059
ExpansionSettings::Init                                                                    |          1 |           0.0243 |           0.0243
ExpansionSettings::ServerInit                                                              |          1 |         501.4200 |         501.4200
ExpansionUh1h::EEInit                                                                      |          6 |           0.3349 |           0.0558
ExpansionUtilityBoat::EEInit                                                               |          1 |           0.0450 |           0.0450
ExpansionVodnik::EEInit                                                                    |          1 |           0.0384 |           0.0384
ExpansionWorldObjectsModule::LoadObjectsFile                                               |          1 |           2.0917 |           2.0917
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0122 |           0.0122
ExpansionWorldObjectsModule::OnMissionFinish                                               |          1 |           0.1799 |           0.1799
ExpansionWorldObjectsModule::OnMissionStart                                                |          1 |        5842.9400 |        5842.9400
ExpansionWorldObjectsModule::RestoreRemovedObjects                                         |          1 |           0.0057 |           0.0057
ExpansionZodiacBoat::EEInit                                                                |          1 |           0.0429 |           0.0429
Expansion_Landrover::EEInit                                                                |          2 |           0.0606 |           0.0303
Expansion_Master_FSM_0::Update                                                             |       7350 |         740.7700 |           0.1007
eAIBase::UpdateTargets                                                                     |       7368 |         106.4020 |           0.0144
eAIBase::eAI_PrioritizeTargets                                                             |       1508 |          10.4505 |           0.0069
eAIBase::eAI_SetAccuracy                                                                   |          6 |           0.0914 |           0.0152
eAIBase::eAI_SetDamageMultiplier                                                           |          3 |           0.0387 |           0.0129
eAIBase::eAI_SetThreatDistanceLimit                                                        |          6 |           0.0568 |           0.0094
eAICommandMove::PreAnimUpdate                                                              |       4936 |         162.1920 |           0.0328
