NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           4.9658 |           4.9658
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.4017 |           0.4017
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0027 |           0.0027
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0087 |           0.0087
ExpansionQuestModule::OnInit                                                               |          1 |           0.0169 |           0.0169
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0186 |           0.0186
ExpansionSettings::GameInit                                                                |          2 |         156.1540 |          78.0768
ExpansionSettings::Init                                                                    |          2 |           0.0260 |           0.0130
ExpansionSettings::Unload                                                                  |          1 |           0.0231 |           0.0231
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0241 |           0.0241
MissionMainMenu::CreateScriptedMenu                                                        |          1 |           0.0118 |           0.0118
SurvivorBase::OnPlayerLoaded                                                               |          1 |           0.6646 |           0.6646
