NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           0.4395 |           0.4395
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.3902 |           0.3902
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0024 |           0.0024
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.1171 |           0.1171
ExpansionQuestModule::OnInit                                                               |          1 |           0.0148 |           0.0148
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0227 |           0.0227
ExpansionSettings::GameInit                                                                |          4 |          72.4225 |          18.1056
ExpansionSettings::Init                                                                    |          4 |           0.0392 |           0.0098
ExpansionSettings::Unload                                                                  |          2 |           0.0517 |           0.0258
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0132 |           0.0132
Land_Lighthouse::Land_Lighthouse                                                           |          2 |           0.0233 |           0.0116
Land_Lighthouse::~Land_Lighthouse                                                          |          2 |           0.0088 |           0.0044
MissionMainMenu::CreateScriptedMenu                                                        |          3 |           0.0386 |           0.0128
SurvivorBase::OnPlayerLoaded                                                               |          3 |           3.9542 |           1.3180
