NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
Chat::Init                                                                                 |          1 |           8.3328 |           8.3328
ExpansionAirdropContainerBase::EEDelete                                                    |         12 |           0.5811 |           0.0484
ExpansionChatLineBase::ExpansionChatLineBase                                               |        100 |           3.6049 |           0.0360
ExpansionChatUIWindow::CreateChatLines                                                     |        100 |         201.6940 |           2.0169
ExpansionChatUIWindow::ExpansionChatUIWindow                                               |          1 |           6.7762 |           6.7762
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           6.0306 |           6.0306
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.4174 |           0.4174
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.0027 |           0.0027
ExpansionP2PMarketModule::ClientModuleInit                                                 |          1 |           0.0064 |           0.0064
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0045 |           0.0045
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0114 |           0.0114
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |           0.5089 |           0.5089
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           0.0026 |           0.0026
ExpansionQuestHUD::ExpansionQuestHUD                                                       |          1 |           0.0157 |           0.0157
ExpansionQuestHUD::OnHide                                                                  |         28 |           0.0951 |           0.0033
ExpansionQuestHUD::OnShow                                                                  |         28 |           9.1717 |           0.3275
ExpansionQuestHUD::ShowHud                                                                 |         55 |          25.7765 |           0.4686
ExpansionQuestHUD::UpdateView                                                              |         29 |           0.9679 |           0.0333
ExpansionQuestModule::Exec_DeferredSendClientQuestData                                     |          1 |           4.2534 |           4.2534
ExpansionQuestModule::OnInit                                                               |          1 |           0.0152 |           0.0152
ExpansionQuestModule::OnMissionFinish                                                      |          1 |           0.0152 |           0.0152
ExpansionQuestModule::OnMissionLoaded                                                      |          1 |           0.0050 |           0.0050
ExpansionQuestModule::OnMissionStart                                                       |          1 |           0.0039 |           0.0039
ExpansionQuestModule::OnRPC                                                                |          1 |           4.7738 |           4.7738
ExpansionQuestModule::QuestDisplayConditions                                               |          4 |           1.6731 |           0.4182
ExpansionQuestModule::RPC_SendClientQuestData                                              |          1 |           4.5535 |           4.5535
ExpansionQuestModule::UpdateQuestNPCIndicators                                             |          1 |           3.8273 |           3.8273
ExpansionQuestObjectiveData::OnRecieve                                                     |          4 |           0.0285 |           0.0071
ExpansionQuestPersistentData::OnRead                                                       |          1 |           2.0711 |           2.0711
ExpansionQuestPersistentQuestData::OnRead                                                  |          4 |           1.0608 |           0.2652
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0210 |           0.0210
ExpansionRespawnHandlerModule::OnMissionFinish                                             |          1 |           0.0295 |           0.0295
ExpansionRespawnHandlerModule::OnMissionStart                                              |          1 |           0.0038 |           0.0038
ExpansionSettings::GameInit                                                                |          2 |         166.1990 |          83.0995
ExpansionSettings::Init                                                                    |          2 |           0.0322 |           0.0161
ExpansionSettings::Receive                                                                 |         23 |         110.8460 |           4.8193
ExpansionSettings::Unload                                                                  |          1 |           0.2707 |           0.2707
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0116 |           0.0116
ExpansionWorldObjectsModule::OnMissionFinish                                               |          1 |           0.4293 |           0.4293
ExpansionWorldObjectsModule::OnMissionStart                                                |          1 |           0.0066 |           0.0066
ExpansionWorldObjectsModule::OnRPC                                                         |          1 |           0.0055 |           0.0055
ExpansionWorldObjectsModule::RPC_RemoveObjects                                             |          1 |           0.0059 |           0.0059
ExpansionWorldObjectsModule::RestoreRemovedObjects                                         |          1 |           0.0856 |           0.0856
Land_Lighthouse::Land_Lighthouse                                                           |          3 |           0.0327 |           0.0109
Land_Lighthouse::OnEnable                                                                  |          2 |           0.3932 |           0.1966
Land_Lighthouse::OnSettingsUpdated                                                         |          2 |           1.8803 |           0.9401
MissionGameplay::CreateScriptedMenu                                                        |          3 |         206.8670 |          68.9556
MissionGameplay::InitExpansionChat                                                         |          1 |           0.9965 |           0.9965
MissionGameplay::InitExpansionQuestHud                                                     |          1 |           1.6580 |           1.6580
MissionGameplay::SwitchChatChannelToDirect                                                 |          1 |           0.0226 |           0.0226
MissionMainMenu::CreateScriptedMenu                                                        |          1 |           0.0173 |           0.0173
SurvivorBase::OnPlayerLoaded                                                               |          2 |           5.9968 |           2.9984
