NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           0.4961 |           0.4961
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.3680 |           0.3680
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0026 |           0.0026
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0074 |           0.0074
ExpansionQuestModule::OnInit                                                               |          1 |           0.0198 |           0.0198
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0191 |           0.0191
ExpansionSettings::GameInit                                                                |          3 |          71.9286 |          23.9762
ExpansionSettings::Init                                                                    |          3 |           0.0312 |           0.0104
ExpansionSettings::Unload                                                                  |          1 |           0.0299 |           0.0299
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0112 |           0.0112
Land_Lighthouse::Land_Lighthouse                                                           |          2 |           0.0275 |           0.0137
MissionMainMenu::CreateScriptedMenu                                                        |          2 |           0.0262 |           0.0131
SurvivorBase::OnPlayerLoaded                                                               |          2 |           1.4175 |           0.7087
