NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           0.6410 |           0.6410
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.3838 |           0.3838
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0024 |           0.0024
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0072 |           0.0072
ExpansionQuestModule::OnInit                                                               |          1 |           0.0186 |           0.0186
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0509 |           0.0509
ExpansionSettings::GameInit                                                                |          2 |         267.1520 |         133.5760
ExpansionSettings::Init                                                                    |          2 |           0.6858 |           0.3429
ExpansionSettings::Unload                                                                  |          1 |           0.0250 |           0.0250
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0117 |           0.0117
MissionMainMenu::CreateScriptedMenu                                                        |          1 |           0.0259 |           0.0259
SurvivorBase::OnPlayerLoaded                                                               |          1 |           0.5814 |           0.5814
