NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
ActionBase::AssignQuestObjective                                                           |          1 |           0.0037 |           0.0037
ActionBase::DeassignQuestObjective                                                         |          2 |           0.0122 |           0.0061
ExpansionEntityStorageModule::OnMissionStart                                               |          1 |           0.1086 |           0.1086
ExpansionGarageModule::LoadGarageData                                                      |          1 |           0.2145 |           0.2145
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.4304 |           0.4304
ExpansionHardlineModule::OnClientDisconnect                                                |          1 |           0.0091 |           0.0091
ExpansionHardlineModule::OnClientPrepare                                                   |          1 |           0.0102 |           0.0102
ExpansionHardlineModule::OnInvokeConnect                                                   |          1 |           0.0218 |           0.0218
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.3380 |           0.3380
ExpansionMarketCategory::GetGlobalItem                                                     |       2448 |           2.8608 |           0.0011
ExpansionMissionModule::OnMissionLoaded                                                    |          1 |          12.6448 |          12.6448
ExpansionMissionModule::StartNewMissions                                                   |          1 |           0.0035 |           0.0035
ExpansionP2PMarketModule::CheckListingsTimes                                               |         10 |           0.1304 |           0.0130
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0026 |           0.0026
ExpansionP2PMarketModule::LoadP2PMarketServerData                                          |          1 |           3.0661 |           3.0661
ExpansionP2PMarketModule::LoadP2PMarketTraderData                                          |          1 |           2.2546 |           2.2546
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0098 |           0.0098
ExpansionP2PMarketModule::OnInvokeConnect                                                  |          1 |           0.0059 |           0.0059
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |         645.2580 |         645.2580
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           3.7504 |           3.7504
ExpansionP2PMarketModule::ServerModuleInit                                                 |          1 |         644.9220 |         644.9220
ExpansionP2PTraderAIIrena::OnPlayerLoaded                                                  |          1 |           0.5797 |           0.5797
ExpansionPathHandler::OnUpdate                                                             |      97744 |        1226.1800 |           0.0125
ExpansionPersonalStorageModule::LoadPersonalStorageServerConfig                            |          1 |           3.9124 |           3.9124
ExpansionQuest::CreateObjectivesFromConfig                                                 |          2 |           0.7819 |           0.3909
ExpansionQuest::ExpansionQuest                                                             |          2 |           0.0073 |           0.0036
ExpansionQuest::Finalize                                                                   |          2 |           1.5789 |           0.7894
ExpansionQuest::OnQuestCleanup                                                             |          2 |           7.0592 |           3.5296
ExpansionQuest::OnQuestContinue                                                            |          2 |           8.4922 |           4.2461
ExpansionQuest::QuestCompletionCheck                                                       |          2 |           1.2172 |           0.6086
ExpansionQuest::RemoveQuestMarkers                                                         |          2 |           0.0214 |           0.0107
ExpansionQuest::SetCurrentObjectiveIndex                                                   |          2 |           0.1014 |           0.0507
ExpansionQuest::SetPlayerUID                                                               |          2 |           0.1116 |           0.0558
ExpansionQuest::SetQuestState                                                              |          2 |           0.1033 |           0.0516
ExpansionQuest::UpdateQuest                                                                |          2 |           4.2774 |           2.1387
ExpansionQuestConfig::Load                                                                 |         21 |          45.7028 |           2.1763
ExpansionQuestConfig::OnSend                                                               |         21 |           0.4268 |           0.0203
ExpansionQuestConfig::ValidateQuestConfiguration                                           |         21 |           0.2390 |           0.0113
ExpansionQuestModule::CheckAndDeleteObjectSet                                              |          2 |           0.0130 |           0.0065
ExpansionQuestModule::CheckAndSpawnObjectSet                                               |          2 |           0.0078 |           0.0039
ExpansionQuestModule::CleanupPlayerQuests                                                  |          1 |           8.6430 |           8.6430
ExpansionQuestModule::GetObjectiveProgressFromQuestData                                    |          2 |           5.4817 |           2.7408
ExpansionQuestModule::InitClientQuests                                                     |          1 |          38.0126 |          38.0126
ExpansionQuestModule::InitClientQuests_AutoAndAchievementQuests                            |          1 |           1.0539 |           1.0539
ExpansionQuestModule::InitClientQuests_Groups                                              |          1 |           0.0055 |           0.0055
ExpansionQuestModule::InitClientQuests_NormalQuests                                        |          1 |          21.2131 |          21.2131
ExpansionQuestModule::InitQuestSystemClient                                                |          1 |          43.0324 |          43.0324
ExpansionQuestModule::LoadObjectSets                                                       |          1 |           0.0203 |           0.0203
ExpansionQuestModule::OnClientDisconnect                                                   |          1 |           9.2820 |           9.2820
ExpansionQuestModule::OnInit                                                               |          1 |           0.0216 |           0.0216
ExpansionQuestModule::OnInvokeConnect                                                      |          1 |           0.1137 |           0.1137
ExpansionQuestModule::OnMissionFinish                                                      |          1 |           0.0115 |           0.0115
ExpansionQuestModule::OnMissionLoaded                                                      |          1 |         237.7970 |         237.7970
ExpansionQuestModule::OnMissionStart                                                       |          1 |         160.3160 |         160.3160
ExpansionQuestModule::ProcessUpdateAndSync                                                 |          2 |           2.2504 |           1.1252
ExpansionQuestModule::RemoveClientMarkers                                                  |          2 |           0.0625 |           0.0312
ExpansionQuestModule::SendClientQuestData                                                  |          1 |           8.5638 |           8.5638
ExpansionQuestModule::ServerModuleInit                                                     |          1 |         158.0270 |         158.0270
ExpansionQuestModule::UpdateQuestForQuestPlayers                                           |          2 |           3.2899 |           1.6449
ExpansionQuestModule::UpdateQuestObjectiveData                                             |          2 |           1.5472 |           0.7736
ExpansionQuestNPCAIDenis::OnPlayerLoaded                                                   |          1 |           0.5853 |           0.5853
ExpansionQuestNPCAIElias::OnPlayerLoaded                                                   |          1 |           0.4159 |           0.4159
ExpansionQuestObjectiveActionEvent::AssignObjectiveOnClasses                               |          1 |           0.2515 |           0.2515
ExpansionQuestObjectiveActionEvent::CanComplete                                            |          1 |           0.1606 |           0.1606
ExpansionQuestObjectiveActionEvent::DeassignObjectiveOnClasses                             |          2 |           1.0527 |           0.5263
ExpansionQuestObjectiveActionEvent::ExpansionQuestObjectiveEventBase                       |          1 |           0.0026 |           0.0026
ExpansionQuestObjectiveActionEvent::OnContinue                                             |          1 |           0.9561 |           0.9561
ExpansionQuestObjectiveActionEvent::OnObjectiveActionExecuted                              |          7 |           0.0593 |           0.0084
ExpansionQuestObjectiveActionEvent::RemoveObjectiveMarkers                                 |          1 |           0.5055 |           0.5055
ExpansionQuestObjectiveActionEvent::SetActionState                                         |          1 |           0.0433 |           0.0433
ExpansionQuestObjectiveActionEvent::SetExecutionCount                                      |          1 |           0.0417 |           0.0417
ExpansionQuestObjectiveData::OnRecieve                                                     |         20 |           0.1521 |           0.0076
ExpansionQuestObjectiveData::OnSend                                                        |          8 |           1.0978 |           0.1372
ExpansionQuestObjectiveTargetEvent::AssignObjectiveOnClasses                               |          1 |           0.5123 |           0.5123
ExpansionQuestObjectiveTargetEvent::CanComplete                                            |          1 |           0.1909 |           0.1909
ExpansionQuestObjectiveTargetEvent::DeassignObjectiveOnClasses                             |          2 |           0.6454 |           0.3227
ExpansionQuestObjectiveTargetEvent::ExpansionQuestObjectiveEventBase                       |          1 |           0.0025 |           0.0025
ExpansionQuestObjectiveTargetEvent::RemoveObjectiveMarkers                                 |          1 |           0.5667 |           0.5667
ExpansionQuestObjectiveTargetEvent::SetCount                                               |          1 |           0.0467 |           0.0467
ExpansionQuestPersistentData::GetQuestObjectiveByQuestIDAndIndex                           |          2 |           0.0185 |           0.0092
ExpansionQuestPersistentData::OnRead                                                       |          5 |          12.9281 |           2.5856
ExpansionQuestPersistentData::OnWrite                                                      |          2 |           6.7063 |           3.3531
ExpansionQuestPersistentData::Save                                                         |          1 |           5.3212 |           5.3212
ExpansionQuestPersistentQuestData::OnRead                                                  |         20 |           6.6429 |           0.3321
ExpansionQuestPersistentQuestData::OnWrite                                                 |          8 |           4.3674 |           0.5459
ExpansionQuestPersistentServerData::Save                                                   |          1 |           0.7538 |           0.7538
ExpansionQuestSettings::OnLoad                                                             |          1 |           2.0153 |           2.0153
ExpansionRespawnHandlerModule::CheckResumeSpawnSelection                                   |          1 |           0.0120 |           0.0120
ExpansionRespawnHandlerModule::Load                                                        |          1 |           0.3813 |           0.3813
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0170 |           0.0170
ExpansionRespawnHandlerModule::OnInvokeConnect                                             |          1 |           0.0073 |           0.0073
ExpansionRespawnHandlerModule::OnMissionFinish                                             |          1 |           1.0293 |           1.0293
ExpansionRespawnHandlerModule::OnMissionStart                                              |          1 |           0.9397 |           0.9397
ExpansionRespawnHandlerModule::Save                                                        |          1 |           0.7583 |           0.7583
ExpansionSettings::Init                                                                    |          1 |           0.0267 |           0.0267
ExpansionSettings::ServerInit                                                              |          1 |         704.3680 |         704.3680
ExpansionWorldObjectsModule::LoadObjectsFile                                               |          1 |           3.6526 |           3.6526
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0138 |           0.0138
ExpansionWorldObjectsModule::OnInvokeConnect                                               |          1 |           0.0041 |           0.0041
ExpansionWorldObjectsModule::OnMissionFinish                                               |          1 |           0.2279 |           0.2279
ExpansionWorldObjectsModule::OnMissionStart                                                |          1 |        6615.5600 |        6615.5600
ExpansionWorldObjectsModule::OnRPC                                                         |          1 |           0.0077 |           0.0077
ExpansionWorldObjectsModule::RestoreRemovedObjects                                         |          1 |           0.0059 |           0.0059
ExpansionWorldObjectsModule::WriteRemovedObjects                                           |          1 |           0.0073 |           0.0073
Expansion_Master_FSM_0::Update                                                             |      97726 |       10805.1000 |           0.1105
SurvivorBase::OnPlayerLoaded                                                               |          1 |           0.5945 |           0.5945
ZombieBase::AssignQuestObjective                                                           |          1 |           0.0042 |           0.0042
ZombieBase::DeassignQuestObjective                                                         |          2 |           0.0084 |           0.0042
eAIBase::UpdateTargets                                                                     |      97744 |        1445.0800 |           0.0147
eAIBase::eAI_PrioritizeTargets                                                             |      20030 |          63.6966 |           0.0031
eAIBase::eAI_SetAccuracy                                                                   |          6 |           0.1050 |           0.0175
eAIBase::eAI_SetDamageMultiplier                                                           |          3 |           0.0245 |           0.0081
eAIBase::eAI_SetThreatDistanceLimit                                                        |          6 |           0.0480 |           0.0080
eAICommandMove::PreAnimUpdate                                                              |      65188 |        2313.5800 |           0.0354
