NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
Chat::Init                                                                                 |          1 |           9.7965 |           9.7965
ExpansionBus::EEInit                                                                       |          2 |           0.0280 |           0.0140
ExpansionChatLineBase::ExpansionChatLineBase                                               |        100 |           4.1994 |           0.0419
ExpansionChatUIWindow::CreateChatLines                                                     |        100 |         751.5900 |           7.5159
ExpansionChatUIWindow::ExpansionChatUIWindow                                               |          1 |           8.2703 |           8.2703
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           2.9366 |           2.9366
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.4004 |           0.4004
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.0035 |           0.0035
ExpansionMerlin::EEInit                                                                    |          3 |           0.0627 |           0.0209
ExpansionP2PMarketModule::ClientModuleInit                                                 |          1 |           0.0054 |           0.0054
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0038 |           0.0038
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0117 |           0.0117
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |           0.2329 |           0.2329
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           0.0021 |           0.0021
ExpansionQuestHUD::ExpansionQuestHUD                                                       |          1 |           0.0126 |           0.0126
ExpansionQuestHUD::OnHide                                                                  |         24 |           0.0921 |           0.0038
ExpansionQuestHUD::OnShow                                                                  |         24 |           4.8148 |           0.2006
ExpansionQuestHUD::ShowHud                                                                 |         47 |          15.3445 |           0.3264
ExpansionQuestHUD::UpdateView                                                              |         25 |           0.5458 |           0.0218
ExpansionQuestModule::Exec_DeferredSendClientQuestData                                     |          1 |           3.3703 |           3.3703
ExpansionQuestModule::OnInit                                                               |          1 |           0.0179 |           0.0179
ExpansionQuestModule::OnMissionFinish                                                      |          1 |           0.0049 |           0.0049
ExpansionQuestModule::OnMissionLoaded                                                      |          1 |           0.0046 |           0.0046
ExpansionQuestModule::OnMissionStart                                                       |          1 |           0.0053 |           0.0053
ExpansionQuestModule::OnRPC                                                                |          1 |           3.6005 |           3.6005
ExpansionQuestModule::QuestDisplayConditions                                               |          4 |           1.2597 |           0.3149
ExpansionQuestModule::RPC_SendClientQuestData                                              |          1 |           3.2757 |           3.2757
ExpansionQuestModule::UpdateQuestNPCIndicators                                             |          1 |           2.9885 |           2.9885
ExpansionQuestObjectiveData::OnRecieve                                                     |          4 |           0.0341 |           0.0085
ExpansionQuestPersistentData::OnRead                                                       |          1 |           1.6643 |           1.6643
ExpansionQuestPersistentQuestData::OnRead                                                  |          4 |           0.8821 |           0.2205
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0224 |           0.0224
ExpansionRespawnHandlerModule::OnMissionFinish                                             |          1 |           0.0041 |           0.0041
ExpansionRespawnHandlerModule::OnMissionStart                                              |          1 |           0.0036 |           0.0036
ExpansionSettings::GameInit                                                                |          2 |         114.5320 |          57.2659
ExpansionSettings::Init                                                                    |          2 |           0.0326 |           0.0163
ExpansionSettings::Receive                                                                 |         23 |          62.6431 |           2.7236
ExpansionSettings::Unload                                                                  |          1 |           0.0363 |           0.0363
ExpansionUh1h::EEInit                                                                      |          4 |           0.1034 |           0.0258
ExpansionVodnik::EEInit                                                                    |          1 |           0.0471 |           0.0471
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0151 |           0.0151
ExpansionWorldObjectsModule::OnMissionFinish                                               |          1 |           0.2319 |           0.2319
ExpansionWorldObjectsModule::OnMissionStart                                                |          1 |           0.0057 |           0.0057
ExpansionWorldObjectsModule::OnRPC                                                         |          1 |           0.0050 |           0.0050
ExpansionWorldObjectsModule::RPC_RemoveObjects                                             |          1 |           0.0048 |           0.0048
ExpansionWorldObjectsModule::RestoreRemovedObjects                                         |          1 |           0.0065 |           0.0065
Land_Lighthouse::Land_Lighthouse                                                           |          2 |           0.0217 |           0.0108
Land_Lighthouse::OnEnable                                                                  |          2 |           0.1429 |           0.0714
Land_Lighthouse::OnSettingsUpdated                                                         |          2 |           0.5951 |           0.2975
MissionGameplay::CreateScriptedMenu                                                        |          3 |         143.2700 |          47.7567
MissionGameplay::InitExpansionChat                                                         |          1 |           0.5408 |           0.5408
MissionGameplay::InitExpansionQuestHud                                                     |          1 |           1.1641 |           1.1641
MissionGameplay::SwitchChatChannelToDirect                                                 |          1 |           0.0073 |           0.0073
MissionMainMenu::CreateScriptedMenu                                                        |          1 |           0.0126 |           0.0126
SurvivorBase::OnPlayerLoaded                                                               |          7 |           5.3433 |           0.7633
