NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           0.6120 |           0.6120
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.4779 |           0.4779
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0028 |           0.0028
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0084 |           0.0084
ExpansionQuestModule::OnInit                                                               |          1 |           0.0175 |           0.0175
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0179 |           0.0179
ExpansionSettings::GameInit                                                                |          2 |         190.6570 |          95.3287
ExpansionSettings::Init                                                                    |          2 |           0.0280 |           0.0140
ExpansionSettings::Unload                                                                  |          1 |           0.0334 |           0.0334
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0121 |           0.0121
Land_Lighthouse::Land_Lighthouse                                                           |          3 |           0.0335 |           0.0111
MissionMainMenu::CreateScriptedMenu                                                        |          1 |           0.0122 |           0.0122
SurvivorBase::OnPlayerLoaded                                                               |          1 |           0.8989 |           0.8989
