NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
Chat::Init                                                                                 |          1 |          10.0706 |          10.0706
ExpansionChatLineBase::ExpansionChatLineBase                                               |        100 |           4.1855 |           0.0418
ExpansionChatUIWindow::CreateChatLines                                                     |        100 |         732.5640 |           7.3256
ExpansionChatUIWindow::ExpansionChatUIWindow                                               |          1 |           8.3410 |           8.3410
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           2.2698 |           2.2698
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.4645 |           0.4645
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.0041 |           0.0041
ExpansionP2PMarketModule::ClientModuleInit                                                 |          1 |           0.0057 |           0.0057
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0036 |           0.0036
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0098 |           0.0098
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |           0.2853 |           0.2853
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           0.0030 |           0.0030
ExpansionQuestHUD::ExpansionQuestHUD                                                       |          1 |           0.0095 |           0.0095
ExpansionQuestHUD::OnHide                                                                  |          7 |           0.0265 |           0.0037
ExpansionQuestHUD::OnShow                                                                  |          7 |           3.2162 |           0.4594
ExpansionQuestHUD::ShowHud                                                                 |         13 |           8.7774 |           0.6751
ExpansionQuestHUD::UpdateView                                                              |          9 |           0.2193 |           0.0243
ExpansionQuestModule::Exec_DeferredSendClientQuestData                                     |          1 |           7.2420 |           7.2420
ExpansionQuestModule::OnInit                                                               |          1 |           0.0201 |           0.0201
ExpansionQuestModule::OnMissionFinish                                                      |          1 |           0.0050 |           0.0050
ExpansionQuestModule::OnMissionLoaded                                                      |          1 |           0.0047 |           0.0047
ExpansionQuestModule::OnMissionStart                                                       |          1 |           0.0050 |           0.0050
ExpansionQuestModule::OnRPC                                                                |          1 |           5.0991 |           5.0991
ExpansionQuestModule::QuestDisplayConditions                                               |          4 |           3.0573 |           0.7643
ExpansionQuestModule::RPC_SendClientQuestData                                              |          1 |           4.8693 |           4.8693
ExpansionQuestModule::UpdateQuestNPCIndicators                                             |          1 |           6.7612 |           6.7612
ExpansionQuestObjectiveData::OnRecieve                                                     |          4 |           0.0305 |           0.0076
ExpansionQuestPersistentData::OnRead                                                       |          1 |           2.4585 |           2.4585
ExpansionQuestPersistentQuestData::OnRead                                                  |          4 |           1.3349 |           0.3337
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0193 |           0.0193
ExpansionRespawnHandlerModule::OnMissionFinish                                             |          1 |           0.0051 |           0.0051
ExpansionRespawnHandlerModule::OnMissionStart                                              |          1 |           0.0043 |           0.0043
ExpansionSettings::GameInit                                                                |          2 |         153.5850 |          76.7926
ExpansionSettings::Init                                                                    |          2 |           0.0391 |           0.0195
ExpansionSettings::Receive                                                                 |         23 |         119.7780 |           5.2077
ExpansionSettings::Unload                                                                  |          1 |           0.0353 |           0.0353
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0122 |           0.0122
ExpansionWorldObjectsModule::OnMissionFinish                                               |          1 |           0.3204 |           0.3204
ExpansionWorldObjectsModule::OnMissionStart                                                |          1 |           0.0073 |           0.0073
ExpansionWorldObjectsModule::OnRPC                                                         |          1 |           0.0056 |           0.0056
ExpansionWorldObjectsModule::RPC_RemoveObjects                                             |          1 |           0.0033 |           0.0033
ExpansionWorldObjectsModule::RestoreRemovedObjects                                         |          1 |           0.0057 |           0.0057
Land_Lighthouse::Land_Lighthouse                                                           |          3 |           0.0317 |           0.0105
Land_Lighthouse::OnEnable                                                                  |          2 |           0.2358 |           0.1179
Land_Lighthouse::OnSettingsUpdated                                                         |          2 |           1.0581 |           0.5290
MissionGameplay::CreateScriptedMenu                                                        |          3 |         144.1440 |          48.0480
MissionGameplay::InitExpansionChat                                                         |          1 |           1.0033 |           1.0033
MissionGameplay::InitExpansionQuestHud                                                     |          1 |           1.4805 |           1.4805
MissionGameplay::SwitchChatChannelToDirect                                                 |          1 |           0.0220 |           0.0220
MissionMainMenu::CreateScriptedMenu                                                        |          1 |           0.0141 |           0.0141
SurvivorBase::OnPlayerLoaded                                                               |          2 |           1.7019 |           0.8509
