NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           0.7839 |           0.7839
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.3993 |           0.3993
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0024 |           0.0024
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0083 |           0.0083
ExpansionQuestModule::OnInit                                                               |          1 |           0.0158 |           0.0158
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0182 |           0.0182
ExpansionSettings::GameInit                                                                |          2 |         157.2070 |          78.6035
ExpansionSettings::Init                                                                    |          2 |           0.0269 |           0.0134
ExpansionSettings::Unload                                                                  |          1 |           0.0235 |           0.0235
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0398 |           0.0398
Land_Lighthouse::Land_Lighthouse                                                           |          3 |           0.0313 |           0.0104
MissionMainMenu::CreateScriptedMenu                                                        |          1 |           0.0115 |           0.0115
SurvivorBase::OnPlayerLoaded                                                               |          1 |           1.2844 |           1.2844
