NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
ActionBase::AssignQuestObjective                                                           |          2 |           0.0098 |           0.0049
ActionBase::DeassignQuestObjective                                                         |          4 |           0.0144 |           0.0036
ExpansionBus::EEInit                                                                       |          1 |           0.0274 |           0.0274
ExpansionEntityStorageModule::OnMissionStart                                               |          1 |           0.0934 |           0.0934
ExpansionGarageModule::LoadGarageData                                                      |          1 |           0.1755 |           0.1755
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.7798 |           0.7798
ExpansionHardlineModule::OnClientDisconnect                                                |          2 |           0.0165 |           0.0082
ExpansionHardlineModule::OnClientPrepare                                                   |          4 |           0.0448 |           0.0112
ExpansionHardlineModule::OnInvokeConnect                                                   |          4 |           0.0683 |           0.0170
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.2378 |           0.2378
ExpansionMarketCategory::GetGlobalItem                                                     |       3114 |           3.2169 |           0.0010
ExpansionMerlin::EEInit                                                                    |          4 |           0.1738 |           0.0434
ExpansionMerlin::Expansion_EngineStart#1322819                                             |          2 |           0.1097 |           0.0548
ExpansionMerlin::OnPing                                                                    |         30 |           0.1937 |           0.0064
ExpansionMh6::EEInit                                                                       |          2 |           0.1081 |           0.0540
ExpansionMissionModule::OnMissionLoaded                                                    |          1 |          11.5997 |          11.5997
ExpansionMissionModule::StartNewMissions                                                   |          1 |           0.0033 |           0.0033
ExpansionP2PMarketModule::CheckListingsTimes                                               |         12 |           0.1610 |           0.0134
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0022 |           0.0022
ExpansionP2PMarketModule::LoadP2PMarketServerData                                          |          1 |           1.9346 |           1.9346
ExpansionP2PMarketModule::LoadP2PMarketTraderData                                          |          1 |           1.3593 |           1.3593
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0083 |           0.0083
ExpansionP2PMarketModule::OnInvokeConnect                                                  |          4 |           0.0296 |           0.0074
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |         365.1260 |         365.1260
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           2.3349 |           2.3349
ExpansionP2PMarketModule::ServerModuleInit                                                 |          1 |         364.9220 |         364.9220
ExpansionP2PTraderAIIrena::OnPlayerLoaded                                                  |          1 |           0.6489 |           0.6489
ExpansionPathHandler::OnUpdate                                                             |     125016 |        1077.3300 |           0.0086
ExpansionPersonalStorageModule::LoadPersonalStorageServerConfig                            |          1 |           2.8524 |           2.8524
ExpansionQuest::CreateObjectivesFromConfig                                                 |          5 |           1.1600 |           0.2320
ExpansionQuest::ExpansionQuest                                                             |          5 |           0.0197 |           0.0039
ExpansionQuest::Finalize                                                                   |          5 |           2.5657 |           0.5131
ExpansionQuest::OnQuestCleanup                                                             |          5 |           9.2538 |           1.8507
ExpansionQuest::OnQuestContinue                                                            |          5 |          11.2357 |           2.2471
ExpansionQuest::QuestCompletionCheck                                                       |          5 |           1.7184 |           0.3436
ExpansionQuest::RemoveQuestMarkers                                                         |          5 |           0.0327 |           0.0065
ExpansionQuest::SetCurrentObjectiveIndex                                                   |          5 |           0.1955 |           0.0391
ExpansionQuest::SetPlayerUID                                                               |          5 |           0.2407 |           0.0481
ExpansionQuest::SetQuestState                                                              |          5 |           0.4590 |           0.0918
ExpansionQuest::UpdateQuest                                                                |          5 |           4.6382 |           0.9276
ExpansionQuestConfig::Load                                                                 |         21 |          26.3268 |           1.2536
ExpansionQuestConfig::OnSend                                                               |         42 |           0.8464 |           0.0201
ExpansionQuestConfig::ValidateQuestConfiguration                                           |         21 |           0.2023 |           0.0096
ExpansionQuestModule::CheckAndDeleteObjectSet                                              |          5 |           0.0174 |           0.0034
ExpansionQuestModule::CheckAndSpawnObjectSet                                               |          5 |           0.0200 |           0.0040
ExpansionQuestModule::CleanupPlayerQuests                                                  |          2 |          11.6733 |           5.8366
ExpansionQuestModule::GetObjectiveProgressFromQuestData                                    |          5 |           3.3976 |           0.6795
ExpansionQuestModule::InitClientQuests                                                     |          4 |          76.5990 |          19.1497
ExpansionQuestModule::InitClientQuests_AutoAndAchievementQuests                            |          4 |           3.1952 |           0.7988
ExpansionQuestModule::InitClientQuests_Groups                                              |          4 |           0.0221 |           0.0055
ExpansionQuestModule::InitClientQuests_NormalQuests                                        |          4 |          31.4500 |           7.8625
ExpansionQuestModule::InitQuestSystemClient                                                |          4 |          86.0714 |          21.5178
ExpansionQuestModule::LoadObjectSets                                                       |          1 |           0.0154 |           0.0154
ExpansionQuestModule::OnClientDisconnect                                                   |          2 |          12.2003 |           6.1001
ExpansionQuestModule::OnInit                                                               |          1 |           0.0159 |           0.0159
ExpansionQuestModule::OnInvokeConnect                                                      |          4 |           0.3441 |           0.0860
ExpansionQuestModule::OnMissionFinish                                                      |          1 |           0.0131 |           0.0131
ExpansionQuestModule::OnMissionLoaded                                                      |          1 |         131.5440 |         131.5440
ExpansionQuestModule::OnMissionStart                                                       |          1 |          86.8810 |          86.8810
ExpansionQuestModule::ProcessUpdateAndSync                                                 |          5 |           2.8630 |           0.5726
ExpansionQuestModule::RemoveClientMarkers                                                  |          3 |           0.0501 |           0.0167
ExpansionQuestModule::SendClientQuestData                                                  |          4 |          17.1376 |           4.2844
ExpansionQuestModule::ServerModuleInit                                                     |          1 |          85.4070 |          85.4070
ExpansionQuestModule::UpdateQuestForQuestPlayers                                           |          5 |           3.8136 |           0.7627
ExpansionQuestModule::UpdateQuestObjectiveData                                             |          5 |           1.8450 |           0.3690
