NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
Chat::Init                                                                                 |          1 |           7.4385 |           7.4385
ExpansionBus::EEInit                                                                       |          1 |           0.0153 |           0.0153
ExpansionChatLineBase::ExpansionChatLineBase                                               |        100 |           4.3952 |           0.0439
ExpansionChatUIWindow::CreateChatLines                                                     |        100 |         240.9790 |           2.4097
ExpansionChatUIWindow::ExpansionChatUIWindow                                               |          1 |           6.2097 |           6.2097
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           0.7102 |           0.7102
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.3677 |           0.3677
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.0026 |           0.0026
ExpansionMarketCategory::GetGlobalItem                                                     |        380 |           0.4505 |           0.0011
ExpansionMarketCategory::GetGlobalItem#366796                                              |          8 |           0.0068 |           0.0008
ExpansionMarketPlayerInventory::Enumerate                                                  |          2 |           0.0696 |           0.0348
ExpansionMh6::EEInit                                                                       |          3 |           0.0483 |           0.0161
ExpansionP2PMarketModule::ClientModuleInit                                                 |          1 |           0.0044 |           0.0044
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0037 |           0.0037
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0111 |           0.0111
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |           0.2173 |           0.2173
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           0.0022 |           0.0022
ExpansionQuestHUD::ExpansionQuestHUD                                                       |          1 |           0.0072 |           0.0072
ExpansionQuestHUD::OnHide                                                                  |          5 |           0.0172 |           0.0034
ExpansionQuestHUD::OnShow                                                                  |          5 |           1.7065 |           0.3413
ExpansionQuestHUD::ShowHud                                                                 |          9 |           3.2840 |           0.3648
ExpansionQuestHUD::UpdateView                                                              |          6 |           0.1513 |           0.0252
ExpansionQuestModule::Exec_DeferredSendClientQuestData                                     |          1 |           4.0774 |           4.0774
ExpansionQuestModule::OnInit                                                               |          1 |           0.0153 |           0.0153
ExpansionQuestModule::OnMissionFinish                                                      |          1 |           0.0064 |           0.0064
ExpansionQuestModule::OnMissionLoaded                                                      |          1 |           0.0053 |           0.0053
ExpansionQuestModule::OnMissionStart                                                       |          1 |           0.0047 |           0.0047
ExpansionQuestModule::OnRPC                                                                |          1 |           3.3266 |           3.3266
ExpansionQuestModule::QuestDisplayConditions                                               |          4 |           1.3750 |           0.3437
ExpansionQuestModule::RPC_SendClientQuestData                                              |          1 |           3.1605 |           3.1605
ExpansionQuestModule::SetQuestNPCIndicator                                                 |          1 |           0.0079 |           0.0079
ExpansionQuestModule::UpdateQuestNPCIndicators                                             |          1 |           3.7577 |           3.7577
ExpansionQuestNPCAIElias::OnPlayerLoaded                                                   |          1 |           0.8036 |           0.8036
ExpansionQuestObjectiveData::OnRecieve                                                     |          4 |           0.0335 |           0.0083
ExpansionQuestPersistentData::OnRead                                                       |          1 |           1.6355 |           1.6355
ExpansionQuestPersistentQuestData::OnRead                                                  |          4 |           0.8968 |           0.2242
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0229 |           0.0229
ExpansionRespawnHandlerModule::OnMissionFinish                                             |          1 |           0.0045 |           0.0045
ExpansionRespawnHandlerModule::OnMissionStart                                              |          1 |           0.0034 |           0.0034
ExpansionSettings::GameInit                                                                |          2 |          74.8424 |          37.4212
ExpansionSettings::Init                                                                    |          2 |           0.0266 |           0.0133
ExpansionSettings::Receive                                                                 |         23 |          64.6263 |           2.8098
ExpansionSettings::Unload                                                                  |          1 |           0.0312 |           0.0312
ExpansionUh1h::EEInit                                                                      |          2 |           0.0353 |           0.0176
ExpansionVodnik::EEInit                                                                    |          1 |           0.0165 |           0.0165
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0134 |           0.0134
ExpansionWorldObjectsModule::OnMissionFinish                                               |          1 |           0.2353 |           0.2353
ExpansionWorldObjectsModule::OnMissionStart                                                |          1 |           0.0047 |           0.0047
ExpansionWorldObjectsModule::OnRPC                                                         |          1 |           0.0059 |           0.0059
ExpansionWorldObjectsModule::RPC_RemoveObjects                                             |          1 |           0.0038 |           0.0038
ExpansionWorldObjectsModule::RestoreRemovedObjects                                         |          1 |           0.0059 |           0.0059
Land_Lighthouse::Land_Lighthouse                                                           |          4 |           0.0445 |           0.0111
Land_Lighthouse::OnEnable                                                                  |          2 |           0.2137 |           0.1068
Land_Lighthouse::OnSettingsUpdated                                                         |          2 |           0.7726 |           0.3863
Land_Lighthouse::~Land_Lighthouse                                                          |          2 |           0.0170 |           0.0085
MissionGameplay::CreateScriptedMenu                                                        |          3 |          69.3612 |          23.1204
MissionGameplay::InitExpansionChat                                                         |          1 |           0.5191 |           0.5191
MissionGameplay::InitExpansionQuestHud                                                     |          1 |           0.9736 |           0.9736
MissionGameplay::SwitchChatChannelToDirect                                                 |          1 |           0.0063 |           0.0063
MissionMainMenu::CreateScriptedMenu                                                        |          1 |           0.0130 |           0.0130
SurvivorBase::OnPlayerLoaded                                                               |          2 |          64.8350 |          32.4175
