NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
Chat::Init                                                                                 |          1 |           6.6082 |           6.6082
ExpansionChatLineBase::ExpansionChatLineBase                                               |        100 |           4.3815 |           0.0438
ExpansionChatUIWindow::CreateChatLines                                                     |        100 |         203.7150 |           2.0371
ExpansionChatUIWindow::ExpansionChatUIWindow                                               |          1 |           5.5680 |           5.5680
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           1.0516 |           1.0516
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.3548 |           0.3548
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.0022 |           0.0022
ExpansionP2PMarketModule::ClientModuleInit                                                 |          1 |           0.0042 |           0.0042
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0025 |           0.0025
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0074 |           0.0074
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |           0.1908 |           0.1908
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           0.0030 |           0.0030
ExpansionQuestHUD::ExpansionQuestHUD                                                       |          1 |           0.0080 |           0.0080
ExpansionQuestHUD::OnHide                                                                  |         69 |           0.2236 |           0.0032
ExpansionQuestHUD::OnShow                                                                  |         69 |          14.5039 |           0.2102
ExpansionQuestHUD::ShowHud                                                                 |        137 |          40.3254 |           0.2943
ExpansionQuestHUD::UpdateView                                                              |         72 |           1.5950 |           0.0221
ExpansionQuestModule::Exec_DeferredSendClientQuestData                                     |          2 |           7.2444 |           3.6222
ExpansionQuestModule::OnInit                                                               |          1 |           0.0154 |           0.0154
ExpansionQuestModule::OnMissionFinish                                                      |          1 |           0.0072 |           0.0072
ExpansionQuestModule::OnMissionLoaded                                                      |          1 |           0.0048 |           0.0048
ExpansionQuestModule::OnMissionStart                                                       |          1 |           0.0030 |           0.0030
ExpansionQuestModule::OnRPC                                                                |          2 |           5.6662 |           2.8331
ExpansionQuestModule::QuestDisplayConditions                                               |          8 |           2.5247 |           0.3155
ExpansionQuestModule::RPC_SendClientQuestData                                              |          2 |           5.3303 |           2.6651
ExpansionQuestModule::UpdateQuestNPCIndicators                                             |          2 |           6.3361 |           3.1680
ExpansionQuestObjectiveData::OnRecieve                                                     |          8 |           0.0697 |           0.0087
ExpansionQuestPersistentData::OnRead                                                       |          2 |           3.0969 |           1.5484
ExpansionQuestPersistentQuestData::OnRead                                                  |          8 |           1.6736 |           0.2092
ExpansionRespawnHandlerModule::Exec_ShowSpawnMenu                                          |          1 |         154.8020 |         154.8020
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0200 |           0.0200
ExpansionRespawnHandlerModule::OnMissionFinish                                             |          1 |           0.0067 |           0.0067
ExpansionRespawnHandlerModule::OnMissionStart                                              |          1 |           0.0032 |           0.0032
ExpansionRespawnHandlerModule::OnRPC                                                       |          1 |           0.1995 |           0.1995
ExpansionRespawnHandlerModule::RPC_ShowSpawnMenu                                           |          1 |           0.0224 |           0.0224
ExpansionRespawnHandlerModule::RequestPlacePlayerAtTempSafePosition                        |          1 |           0.0038 |           0.0038
ExpansionSettings::GameInit                                                                |          1 |          70.6009 |          70.6009
ExpansionSettings::Init                                                                    |          1 |           0.0281 |           0.0281
ExpansionSettings::Receive                                                                 |         46 |          80.3662 |           1.7470
ExpansionUh1h::EEInit                                                                      |          2 |           0.0326 |           0.0163
ExpansionVodnik::EEInit                                                                    |          1 |           0.0156 |           0.0156
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0113 |           0.0113
ExpansionWorldObjectsModule::OnMissionFinish                                               |          1 |           0.2177 |           0.2177
ExpansionWorldObjectsModule::OnMissionStart                                                |          1 |           0.0040 |           0.0040
ExpansionWorldObjectsModule::OnRPC                                                         |          1 |           0.0066 |           0.0066
ExpansionWorldObjectsModule::RPC_RemoveObjects                                             |          2 |           0.0103 |           0.0051
ExpansionWorldObjectsModule::RestoreRemovedObjects                                         |          1 |           0.0123 |           0.0123
Hatchback_02::EEInit                                                                       |          2 |           0.0424 |           0.0212
Hatchback_02_Black::EEInit                                                                 |          1 |           0.0189 |           0.0189
Hatchback_02_Blue::EEInit                                                                  |          1 |           0.0373 |           0.0373
Land_Lighthouse::Land_Lighthouse                                                           |         15 |           0.1991 |           0.0132
Land_Lighthouse::OnEnable                                                                  |          7 |           0.5334 |           0.0762
Land_Lighthouse::OnSettingsUpdated                                                         |          7 |           2.1297 |           0.3042
Land_Lighthouse::~Land_Lighthouse                                                          |         14 |           0.0729 |           0.0052
MissionGameplay::CreateScriptedMenu                                                        |          6 |         177.3830 |          29.5638
MissionGameplay::InitExpansionChat                                                         |          1 |           0.4865 |           0.4865
MissionGameplay::InitExpansionQuestHud                                                     |          1 |           1.0829 |           1.0829
MissionGameplay::SwitchChatChannelToDirect                                                 |          1 |           0.0056 |           0.0056
Sedan_02_Grey::EEInit                                                                      |          2 |           0.0414 |           0.0207
SurvivorBase::OnPlayerLoaded                                                               |          2 |           1.8302 |           0.9151
