NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
ActionBase::AssignQuestObjective                                                           |          1 |           0.0041 |           0.0041
ActionBase::DeassignQuestObjective                                                         |          2 |           0.0055 |           0.0027
ExpansionEntityStorageModule::OnMissionStart                                               |          1 |           0.1117 |           0.1117
ExpansionGarageModule::LoadGarageData                                                      |          1 |           0.1741 |           0.1741
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.3503 |           0.3503
ExpansionHardlineModule::OnClientDisconnect                                                |          1 |           0.2635 |           0.2635
ExpansionHardlineModule::OnClientPrepare                                                   |          1 |           0.0101 |           0.0101
ExpansionHardlineModule::OnInvokeConnect                                                   |          1 |           0.0138 |           0.0138
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.2577 |           0.2577
ExpansionMarketCategory::GetGlobalItem                                                     |       1142 |           1.2070 |           0.0010
ExpansionMissionModule::OnMissionLoaded                                                    |          1 |          95.1418 |          95.1418
ExpansionMissionModule::StartNewMissions                                                   |          1 |           0.0035 |           0.0035
ExpansionP2PMarketModule::CheckListingsTimes                                               |         70 |           1.0143 |           0.0144
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0025 |           0.0025
ExpansionP2PMarketModule::LoadP2PMarketServerData                                          |          1 |           9.6384 |           9.6384
ExpansionP2PMarketModule::LoadP2PMarketTraderData                                          |          1 |           8.9083 |           8.9083
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0159 |           0.0159
ExpansionP2PMarketModule::OnInvokeConnect                                                  |          1 |           0.0056 |           0.0056
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |         341.3620 |         341.3620
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |          10.0495 |          10.0495
ExpansionP2PMarketModule::ServerModuleInit                                                 |          1 |         341.1790 |         341.1790
ExpansionP2PTraderAIIrena::OnPlayerLoaded                                                  |          1 |           1.1406 |           1.1406
ExpansionPathHandler::OnUpdate                                                             |     750206 |        8913.5600 |           0.0118
ExpansionPersonalStorageModule::LoadPersonalStorageServerConfig                            |          1 |           8.9217 |           8.9217
ExpansionQuest::CreateObjectivesFromConfig                                                 |          2 |           0.4120 |           0.2060
ExpansionQuest::ExpansionQuest                                                             |          2 |           0.0067 |           0.0033
ExpansionQuest::Finalize                                                                   |          2 |           0.9270 |           0.4635
ExpansionQuest::OnQuestCleanup                                                             |          2 |           4.6815 |           2.3407
ExpansionQuest::OnQuestContinue                                                            |          2 |           4.3785 |           2.1892
ExpansionQuest::QuestCompletionCheck                                                       |          2 |           0.7337 |           0.3668
ExpansionQuest::RemoveQuestMarkers                                                         |          2 |           0.0320 |           0.0160
ExpansionQuest::SetCurrentObjectiveIndex                                                   |          2 |           0.0680 |           0.0340
ExpansionQuest::SetPlayerUID                                                               |          2 |           0.0909 |           0.0454
ExpansionQuest::SetQuestState                                                              |          2 |           0.0739 |           0.0369
ExpansionQuest::UpdateQuest                                                                |          2 |           1.7164 |           0.8582
ExpansionQuestConfig::Load                                                                 |         21 |         153.7570 |           7.3217
ExpansionQuestConfig::OnSend                                                               |         21 |           0.3290 |           0.0156
ExpansionQuestConfig::ValidateQuestConfiguration                                           |         21 |           0.2534 |           0.0120
ExpansionQuestModule::CheckAndDeleteObjectSet                                              |          2 |           0.2387 |           0.1193
ExpansionQuestModule::CheckAndSpawnObjectSet                                               |          2 |           0.0066 |           0.0033
ExpansionQuestModule::CleanupPlayerQuests                                                  |          1 |           7.3271 |           7.3271
ExpansionQuestModule::GetObjectiveProgressFromQuestData                                    |          2 |           1.2873 |           0.6436
ExpansionQuestModule::InitClientQuests                                                     |          1 |          19.5663 |          19.5663
ExpansionQuestModule::InitClientQuests_AutoAndAchievementQuests                            |          1 |           0.6023 |           0.6023
ExpansionQuestModule::InitClientQuests_Groups                                              |          1 |           0.0046 |           0.0046
ExpansionQuestModule::InitClientQuests_NormalQuests                                        |          1 |          10.1995 |          10.1995
ExpansionQuestModule::InitQuestSystemClient                                                |          1 |          22.3145 |          22.3145
ExpansionQuestModule::LoadObjectSets                                                       |          1 |           0.0316 |           0.0316
ExpansionQuestModule::OnClientDisconnect                                                   |          1 |           8.3260 |           8.3260
ExpansionQuestModule::OnInit                                                               |          1 |           0.0146 |           0.0146
ExpansionQuestModule::OnInvokeConnect                                                      |          1 |           0.0537 |           0.0537
ExpansionQuestModule::OnMissionFinish                                                      |          1 |           0.0935 |           0.0935
ExpansionQuestModule::OnMissionLoaded                                                      |          1 |          94.7601 |          94.7601
ExpansionQuestModule::OnMissionStart                                                       |          1 |         367.9950 |         367.9950
ExpansionQuestModule::ProcessUpdateAndSync                                                 |          2 |           1.0763 |           0.5381
ExpansionQuestModule::RemoveClientMarkers                                                  |          2 |           0.0501 |           0.0250
ExpansionQuestModule::SendClientQuestData                                                  |          1 |           4.6505 |           4.6505
ExpansionQuestModule::ServerModuleInit                                                     |          1 |         361.1880 |         361.1880
ExpansionQuestModule::UpdateQuestForQuestPlayers                                           |          2 |           1.4083 |           0.7041
ExpansionQuestModule::UpdateQuestObjectiveData                                             |          2 |           0.6943 |           0.3471
ExpansionQuestNPCAIDenis::OnPlayerLoaded                                                   |          1 |           0.7538 |           0.7538
ExpansionQuestNPCAIElias::OnPlayerLoaded                                                   |          1 |           0.7280 |           0.7280
ExpansionQuestObjectiveActionEvent::AssignObjectiveOnClasses                               |          1 |           0.2877 |           0.2877
ExpansionQuestObjectiveActionEvent::CanComplete                                            |          1 |           0.1074 |           0.1074
ExpansionQuestObjectiveActionEvent::DeassignObjectiveOnClasses                             |          2 |           0.3823 |           0.1911
ExpansionQuestObjectiveActionEvent::ExpansionQuestObjectiveEventBase                       |          1 |           0.0022 |           0.0022
ExpansionQuestObjectiveActionEvent::OnContinue                                             |          1 |           0.6494 |           0.6494
ExpansionQuestObjectiveActionEvent::OnObjectiveActionExecuted                              |         47 |           0.3764 |           0.0080
ExpansionQuestObjectiveActionEvent::RemoveObjectiveMarkers                                 |          1 |           0.3200 |           0.3200
ExpansionQuestObjectiveActionEvent::SetActionState                                         |          1 |           0.0975 |           0.0975
ExpansionQuestObjectiveActionEvent::SetExecutionCount                                      |          1 |           0.0391 |           0.0391
ExpansionQuestObjectiveData::OnRecieve                                                     |         20 |           0.1369 |           0.0068
ExpansionQuestObjectiveData::OnSend                                                        |          8 |           0.7247 |           0.0905
ExpansionQuestObjectiveTargetEvent::AssignObjectiveOnClasses                               |          1 |           0.1814 |           0.1814
ExpansionQuestObjectiveTargetEvent::CanComplete                                            |          1 |           0.0901 |           0.0901
ExpansionQuestObjectiveTargetEvent::DeassignObjectiveOnClasses                             |          2 |           0.7953 |           0.3976
ExpansionQuestObjectiveTargetEvent::ExpansionQuestObjectiveEventBase                       |          1 |           0.0022 |           0.0022
ExpansionQuestObjectiveTargetEvent::RemoveObjectiveMarkers                                 |          1 |           0.4142 |           0.4142
ExpansionQuestObjectiveTargetEvent::SetCount                                               |          1 |           0.0334 |           0.0334
ExpansionQuestPersistentData::GetQuestObjectiveByQuestIDAndIndex                           |          2 |           0.0145 |           0.0072
ExpansionQuestPersistentData::OnRead                                                       |          5 |           7.0942 |           1.4188
ExpansionQuestPersistentData::OnWrite                                                      |          2 |           4.0803 |           2.0401
ExpansionQuestPersistentData::Save                                                         |          1 |           3.3714 |           3.3714
ExpansionQuestPersistentQuestData::OnRead                                                  |         20 |           3.5906 |           0.1795
ExpansionQuestPersistentQuestData::OnWrite                                                 |          8 |           2.8103 |           0.3512
ExpansionQuestPersistentServerData::Save                                                   |          1 |           0.6426 |           0.6426
ExpansionQuestSettings::OnLoad                                                             |          1 |           7.1009 |           7.1009
ExpansionRespawnHandlerModule::CheckResumeSpawnSelection                                   |          1 |           0.0117 |           0.0117
ExpansionRespawnHandlerModule::Load                                                        |          1 |           0.1818 |           0.1818
ExpansionRespawnHandlerModule::OnInit                                                      |          1 |           0.0177 |           0.0177
ExpansionRespawnHandlerModule::OnInvokeConnect                                             |          1 |           0.0084 |           0.0084
ExpansionRespawnHandlerModule::OnMissionFinish                                             |          1 |           1.2227 |           1.2227
ExpansionRespawnHandlerModule::OnMissionStart                                              |          1 |           0.6011 |           0.6011
ExpansionRespawnHandlerModule::Save                                                        |          1 |           0.9544 |           0.9544
ExpansionSettings::Init                                                                    |          1 |           0.0197 |           0.0197
ExpansionSettings::ServerInit                                                              |          1 |         980.7380 |         980.7380
ExpansionWorldObjectsModule::LoadObjectsFile                                               |          1 |           6.9210 |           6.9210
ExpansionWorldObjectsModule::OnInit                                                        |          1 |           0.0125 |           0.0125
ExpansionWorldObjectsModule::OnInvokeConnect                                               |          1 |           0.0033 |           0.0033
ExpansionWorldObjectsModule::OnMissionFinish                                               |          1 |           0.2322 |           0.2322
ExpansionWorldObjectsModule::OnMissionStart                                                |          1 |        5721.4500 |        5721.4500
ExpansionWorldObjectsModule::OnRPC                                                         |          1 |           0.0045 |           0.0045
ExpansionWorldObjectsModule::RestoreRemovedObjects                                         |          1 |           0.0502 |           0.0502
ExpansionWorldObjectsModule::WriteRemovedObjects                                           |          1 |           0.0045 |           0.0045
Expansion_Master_FSM_0::Update                                                             |     750188 |       65688.8000 |           0.0875
Land_Lighthouse::Land_Lighthouse                                                           |          1 |           0.0037 |           0.0037
Land_Lighthouse::OnSettingsUpdated                                                         |          1 |           0.0054 |           0.0054
Land_Lighthouse::~Land_Lighthouse                                                          |          1 |           0.0062 |           0.0062
SurvivorBase::OnPlayerLoaded                                                               |          1 |           0.4430 |           0.4430
ZombieBase::AssignQuestObjective                                                           |          1 |           0.0034 |           0.0034
ZombieBase::DeassignQuestObjective                                                         |          2 |           0.0499 |           0.0249
eAIBase::UpdateTargets                                                                     |     750206 |       10749.4000 |           0.0143
eAIBase::eAI_PrioritizeTargets                                                             |     153496 |         305.1090 |           0.0019
eAIBase::eAI_SetAccuracy                                                                   |          6 |           0.0795 |           0.0132
eAIBase::eAI_SetDamageMultiplier                                                           |          3 |           0.0239 |           0.0079
eAIBase::eAI_SetThreatDistanceLimit                                                        |          6 |           0.0461 |           0.0076
eAICommandMove::PreAnimUpdate                                                              |     500158 |       13619.5000 |           0.0272
