NAME ------------------------------------------------------------------------------------- | ---- CALLS | -- TOTAL TIME MS | ---- AVG TIME MS
Bastard_w123_black::EEInit                                                                 |          2 |           0.0289 |           0.0144
Bastard_w123_skin1::EEInit                                                                 |          2 |           0.0387 |           0.0193
Bastard_w123_skin2::EEInit                                                                 |          2 |           0.0303 |           0.0151
Bastard_w123_skin3::EEInit                                                                 |          2 |           0.0319 |           0.0159
Bastard_w123_stock::EEInit                                                                 |          2 |           0.0305 |           0.0152
Bastard_w124_black::EEInit                                                                 |          2 |           0.0474 |           0.0237
Bastard_w124_police::EEInit                                                                |          2 |           0.0300 |           0.0150
Bastard_w124_rust::EEInit                                                                  |          2 |           0.0332 |           0.0166
Bastard_w124_rust_skin1::EEInit                                                            |          2 |           0.0305 |           0.0152
Bastard_w124_rust_skin2::EEInit                                                            |          2 |           0.0308 |           0.0154
Bastard_w124_skin1::EEInit                                                                 |          2 |           0.0314 |           0.0157
Bastard_w124_skin2::EEInit                                                                 |          2 |           0.0294 |           0.0147
Bastard_w124_stock::EEInit                                                                 |          2 |           0.0307 |           0.0153
Chat::Init                                                                                 |          1 |           6.5905 |           6.5905
CivilianSedan::EEInit                                                                      |          6 |           0.0943 |           0.0157
CivilianSedan_Black::EEInit                                                                |          3 |           0.0450 |           0.0150
CivilianSedan_Wine::EEInit                                                                 |          3 |           0.0438 |           0.0146
Civilian_Vaz_2126::EEInit                                                                  |          2 |           0.0321 |           0.0160
Civilian_Vaz_2126_Blue::EEInit                                                             |          2 |           0.0312 |           0.0156
Civilian_Vaz_2126_Green::EEInit                                                            |          2 |           0.0313 |           0.0156
Civilian_Vaz_2126_Red::EEInit                                                              |          2 |           0.0305 |           0.0152
CrSk_GAZ_3309::EEInit                                                                      |          2 |           0.0313 |           0.0156
CrSk_GAZ_3309_Cargo_Green::EEInit                                                          |          2 |           0.0304 |           0.0152
CrSk_VAZ_2107::EEInit                                                                      |         21 |           0.3445 |           0.0164
CrSk_VAZ_2107_Beige::EEInit                                                                |          2 |           0.0382 |           0.0191
CrSk_VAZ_2107_Black::EEInit                                                                |          2 |           0.0326 |           0.0163
CrSk_VAZ_2107_White::EEInit                                                                |          2 |           0.0320 |           0.0160
ExpansionBigGyrocopter::EEInit                                                             |          2 |           0.0271 |           0.0135
ExpansionBus::EEInit                                                                       |          4 |           0.0609 |           0.0152
ExpansionChatLineBase::ExpansionChatLineBase                                               |        100 |           4.2045 |           0.0420
ExpansionChatUIWindow::CreateChatLines                                                     |        100 |         173.4220 |           1.7342
ExpansionChatUIWindow::ExpansionChatUIWindow                                               |          1 |           5.6230 |           5.6230
ExpansionClientSettings::ExpansionClientSettings                                           |          1 |           5.9157 |           5.9157
ExpansionGlobalChatModule::ExpansionGlobalChatModule                                       |          1 |           0.3712 |           0.3712
ExpansionGyrocopter::EEInit                                                                |          2 |           0.0322 |           0.0161
ExpansionHatchBird::EEInit                                                                 |          2 |           0.0331 |           0.0165
ExpansionItemBaseModule::OnMissionStart                                                    |          1 |           0.0027 |           0.0027
ExpansionMerlin::EEInit                                                                    |         14 |           0.2382 |           0.0170
ExpansionMh6::EEInit                                                                       |         30 |           0.4893 |           0.0163
ExpansionP2PMarketModule::ClientModuleInit                                                 |          1 |           0.0046 |           0.0046
ExpansionP2PMarketModule::ExpansionP2PMarketModule                                         |          1 |           0.0023 |           0.0023
ExpansionP2PMarketModule::OnInit                                                           |          1 |           0.0074 |           0.0074
ExpansionP2PMarketModule::OnMissionLoaded                                                  |          1 |           0.2210 |           0.2210
ExpansionP2PMarketModule::OnMissionStart                                                   |          1 |           0.0029 |           0.0029
ExpansionQuestHUD::ExpansionQuestHUD                                                       |          1 |           0.0082 |           0.0082
ExpansionQuestHUD::OnHide                                                                  |         22 |           0.0820 |           0.0037
ExpansionQuestHUD::OnShow                                                                  |         22 |           4.7911 |           0.2177
ExpansionQuestHUD::ShowHud                                                                 |         43 |          13.8863 |           0.3229
ExpansionQuestHUD::UpdateView                                                              |         23 |           0.5455 |           0.0237
